Authors,Title,Year,Source title,Cited by,Link,Abstract,Document Type,Publication Stage,Source,EID
"Zscheischler J., Westra S., Van Den Hurk B.J.J.M., Seneviratne S.I., Ward P.J., Pitman A., Aghakouchak A., Bresch D.N., Leonard M., Wahl T., Zhang X.","Future climate risk from compound events",2018,"Nature Climate Change",486,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046890068&doi=10.1038%2fs41558-018-0156-3&partnerID=40&md5=783e6df8c9a5ac2818f37c3897336365","Floods, wildfires, heatwaves and droughts often result from a combination of interacting physical processes across multiple spatial and temporal scales. The combination of processes (climate drivers and hazards) leading to a significant impact is referred to as a 'compound event'. Traditional risk assessment methods typically only consider one driver and/or hazard at a time, potentially leading to underestimation of risk, as the processes that cause extreme events often interact and are spatially and/or temporally dependent. Here we show how a better understanding of compound events may improve projections of potential high-impact events, and can provide a bridge between climate scientists, engineers, social scientists, impact modellers and decision-makers, who need to work closely together to understand these complex events. © 2018 The Publisher.",Review,"Final",Scopus,2-s2.0-85046890068
"Vespignani A.","Complex networks: The fragility of interdependency",2010,"Nature",401,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951142879&doi=10.1038%2f464984a&partnerID=40&md5=ae04db9bb92d8ce07f5608bd31f5bc3d",[No abstract available],Short Survey,"Final",Scopus,2-s2.0-77951142879
"Kokoris-Kogias E., Jovanovic P., Gasser L., Gailly N., Syta E., Ford B.","OmniLedger: A Secure, Scale-Out, Decentralized Ledger via Sharding",2018,"Proceedings - IEEE Symposium on Security and Privacy",317,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049798657&doi=10.1109%2fSP.2018.000-5&partnerID=40&md5=7e4fb03bdc42b2c39caac5d29b16911e","Designing a secure permissionless distributed ledger (blockchain) that performs on par with centralized payment processors, such as Visa, is a challenging task. Most existing distributed ledgers are unable to scale-out, i.e., to grow their total processing capacity with the number of validators; and those that do, compromise security or decentralization. We present OmniLedger, a novel scale-out distributed ledger that preserves longterm security under permissionless operation. It ensures security and correctness by using a bias-resistant public-randomness protocol for choosing large, statistically representative shards that process transactions, and by introducing an efficient cross-shard commit protocol that atomically handles transactions affecting multiple shards. OmniLedger also optimizes performance via parallel intra-shard transaction processing, ledger pruning via collectively-signed state blocks, and low-latency 'trust-but-verify' validation for low-value transactions. An evaluation of our experimental prototype shows that OmniLedger's throughput scales linearly in the number of active validators, supporting Visa-level workloads and beyond, while confirming typical transactions in under two seconds. © 2018 IEEE.",Conference Paper,"Final",Scopus,2-s2.0-85049798657
"Sachs J.D., Schmidt-Traub G., Mazzucato M., Messner D., Nakicenovic N., Rockström J.","Six Transformations to achieve the Sustainable Development Goals",2019,"Nature Sustainability",313,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071425622&doi=10.1038%2fs41893-019-0352-9&partnerID=40&md5=0f6e8207403785c723e773b10dbb87e9","The Sustainable Development Goals (SDGs) and the Paris Agreement on Climate Change call for deep transformations in every country that will require complementary actions by governments, civil society, science and business. Yet stakeholders lack a shared understanding of how the 17 SDGs can be operationalized. Drawing on earlier work by The World in 2050 initiative, we introduce six SDG Transformations as modular building-blocks of SDG achievement: (1) education, gender and inequality; (2) health, well-being and demography; (3) energy decarbonization and sustainable industry; (4) sustainable food, land, water and oceans; (5) sustainable cities and communities; and (6) digital revolution for sustainable development. Each Transformation identifies priority investments and regulatory challenges, calling for actions by well-defined parts of government working with business and civil society. Transformations may therefore be operationalized within the structures of government while respecting the strong interdependencies across the 17 SDGs. We also outline an action agenda for science to provide the knowledge required for designing, implementing and monitoring the SDG Transformations. © 2019, Springer Nature Limited.",Article,"Final",Scopus,2-s2.0-85071425622
"McDaniels T., Chang S., Cole D., Mikawoz J., Longstaff H.","Fostering resilience to extreme events within infrastructure systems: Characterizing decision contexts for mitigation and adaptation",2008,"Global Environmental Change",294,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-44149099991&doi=10.1016%2fj.gloenvcha.2008.03.001&partnerID=40&md5=9bf40dea7dd1153b7d428bd08427a8e7","Resilience of complex systems has emerged as a fundamental concern for system managers, users, and researchers. This paper addresses resilience within infrastructure systems, after an extreme event such as an earthquake. It develops a conceptual framework for understanding the factors that influence the resilience of infrastructure systems in terms of two dimensions: robustness (the extent of system function that is maintained) and rapidity (the time required to return to full system operations and productivity). The paper also characterizes a framework through the use of flow diagrams for understanding kinds of decisions that can be pursued within infrastructure systems to foster these two dimensions of system resilience. It uses the results of several data-gathering efforts, including preparation of a database on infrastructure interactions, interviews with hospital emergency managers, and interviews with other kinds of infrastructure system operators. The paper then applies this framework to the example of planning for system resilience within individual hospitals in the context of earthquake mitigation efforts. The results indicate that common decision contexts (both ex-ante and ex-post) arise across many different infrastructure contexts when considering ways to make infrastructure systems more resilient. The detailed discussion of hospitals points to the importance of learning from experience in previous disasters, of managing the availability of the facility's staff in a disaster, of daily communication among the staff to ensure high utilization of the available hospital capacity, and of flexibility in ways of addressing specific system failures such as water. The results also point to several ways in which the flow diagrams can be used for ongoing planning and implementation to enhance infrastructure system resilience. © 2008 Elsevier Ltd. All rights reserved.",Article,"Final",Scopus,2-s2.0-44149099991
"Bocchini P., Frangopol D.M., Ummenhofer T., Zinke T.","Resilience and sustainability of civil infrastructure: Toward a unified approach",2014,"Journal of Infrastructure Systems",286,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911459251&doi=10.1061%2f%28ASCE%29IS.1943-555X.0000177&partnerID=40&md5=e7a43941c9eec235eef42c77581023f0","In recent years, the concepts of resilience and sustainability have become very topical and popular. The concept of sustainability rose to prominence in the late 1980s and became a central issue in world politics, when the construction industry began to generate the first sustainable building assessment systems with more or less equally weighted environmental, economic, and social aspects for office buildings over their life cycles. On the other hand, resilience is usually connected to the occurrence of extreme events during the life cycle of structures and infrastructures. In the last decade, it has been used to minimize specifically direct and indirect losses from hazards through enhanced resistance and robustness to extreme events, as well as more effective recovery strategies. A detailed comparison of the studies dealing with either infrastructure sustainability or resilience presented in this paper leads to the conclusion that they have a vast number of similarities and common characteristics. For instance, they both combine structural analyses with social and economic aspects; they both rely on techniques for the life-cycle analysis and decision making; they both are in an early stage, where the academic world is trying to find the best way to promote the application of the scientific results among professional engineers and the industry. Indeed, both approaches try to optimize a system, such as a civil infrastructure system, with respect to structural design, utilized material, maintenance plans, management strategies, and impacts on the society. However, for the most part, researchers and practitioners focusing on either resilience or sustainability operate without a mutual consideration of the findings, which leads to a severe inefficiency. Therefore, this paper suggests that resilience and sustainability are complementary and should be used in an integrated perspective. In particular, the proposed approach is rooted in the wellestablished framework of risk assessment. The impact of the infrastructure and its service states on the society in normal operational conditions (assessed by sustainability analysis) and after exceptional events (assessed by resilience analysis) should be weighted by the associated probabilities of occurrence and combined in a global impact assessment. The proposed perspective and assessment technique is applicable to various types of civil infrastructure systems, but the case of transportation networks and bridge systems is emphasized herein. A numerical application dealing with the comparative analysis of two possible bridge layouts is presented to exemplify the approach. The results show that both resilience and sustainability analyses assess a relevant amount of the impact of the bridge on the community where it is built, so neither one can be neglected. © 2014 American Society of Civil Engineers.",Article,"Final",Scopus,2-s2.0-84911459251
"Aerts J.C.J.H., Botzen W.J.W., Emanuel K., Lin N., De Moel H., Michel-Kerjan E.O.","Climate adaptation: Evaluating flood resilience strategies for coastal megacities",2014,"Science",264,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900306768&doi=10.1126%2fscience.1248222&partnerID=40&md5=c9e9f38087d5df99a407abd4d69e6c1f","Integration of models for storms and floods, damages and protections, should aid resilience planning and investments.",Review,"Final",Scopus,2-s2.0-84900306768
"Panteli M., Mancarella P., Trakas D.N., Kyriakides E., Hatziargyriou N.D.","Metrics and Quantification of Operational and Infrastructure Resilience in Power Systems",2017,"IEEE Transactions on Power Systems",239,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034654519&doi=10.1109%2fTPWRS.2017.2664141&partnerID=40&md5=08c6a5762a3211a4f5cd055d77c24fcf","Resilience to high impact low probability events is becoming of growing concern, for instance to address the impacts of extreme weather on critical infrastructures worldwide. However, there is, as yet, no clear methodology or set of metrics to quantify resilience in the context of power systems and in terms of both operational and infrastructure integrity. In this paper, the resilience 'trapezoid' is therefore introduced which extends the resilience 'triangle' that is traditionally used in existing studies, in order to consider the different phases that a power system may experience during an extreme event. The resilience trapezoid is then quantified using time-dependent resilience metrics that are specifically introduced to help capture the critical system degradation and recovery features associated to the trapezoid for different temporal phases of an event. Further, we introduce the concepts of operational resilience and infrastructure resilience to gain additional insights in the system response. Different structural and operational resilience enhancement strategies are then analyzed using the proposed assessment framework, considering single and multiple severe windstorm events that hit the 29-bus Great Britain transmission network test case. The results clearly highlight the capability of the proposed framework and metrics to quantify power system resilience and relevant enhancement strategies. © 2017 IEEE.",Article,"Final",Scopus,2-s2.0-85034654519
"Spencer B.F., Jr., Hoskere V., Narazaki Y.","Advances in Computer Vision-Based Civil Infrastructure Inspection and Monitoring",2019,"Engineering",217,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063608159&doi=10.1016%2fj.eng.2018.11.030&partnerID=40&md5=378e795cc233a18b51bb1077fa23e4e9","Computer vision techniques, in conjunction with acquisition through remote cameras and unmanned aerial vehicles (UAVs), offer promising non-contact solutions to civil infrastructure condition assessment. The ultimate goal of such a system is to automatically and robustly convert the image or video data into actionable information. This paper provides an overview of recent advances in computer vision techniques as they apply to the problem of civil infrastructure condition assessment. In particular, relevant research in the fields of computer vision, machine learning, and structural engineering is presented. The work reviewed is classified into two types: inspection applications and monitoring applications. The inspection applications reviewed include identifying context such as structural components, characterizing local and global visible damage, and detecting changes from a reference image. The monitoring applications discussed include static measurement of strain and displacement, as well as dynamic measurement of displacement for modal analysis. Subsequently, some of the key challenges that persist toward the goal of automated vision-based civil infrastructure and monitoring are presented. The paper concludes with ongoing work aimed at addressing some of these stated challenges. © 2019",Review,"Final",Scopus,2-s2.0-85063608159
"Dawson R.J., Peppe R., Wang M.","An agent-based model for risk-based flood incident management",2011,"Natural Hazards",184,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052279866&doi=10.1007%2fs11069-011-9745-4&partnerID=40&md5=06ed3383c80fa35f31d6bdf515666990","Effective flood incident management (FIM) requires successful operation of complex, interacting human and technological systems. A dynamic agent-based model of FIM processes has been developed to provide new insights which can be used for policy analysis and other practical applications. The model integrates remotely sensed information on topography, buildings and road networks with empirical survey data to fit characteristics of specific communities. The multiagent simulation has been coupled with a hydrodynamic model to estimate the vulnerability of individuals to flooding under different storm surge conditions, defence breach scenarios, flood warning times and evacuation strategies. A case study in the coastal town of Towyn in the United Kingdom has demonstrated the capacity of the model to analyse the risks of flooding to people, support flood emergency planning and appraise the benefits of flood incident management measures. © 2011 Springer Science+Business Media B.V.",Article,"Final",Scopus,2-s2.0-80052279866
