Authors,Title,Year,Source title,Cited by,Link,Abstract,Document Type,Publication Stage,Source,EID
"Hevner A.R., March S.T., Park J., Ram S.","Design science in information systems research",2004,"MIS Quarterly: Management Information Systems",7819,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0242652022&doi=10.2307%2f25148625&partnerID=40&md5=fb1dde6271e2c2d4d646405dcddea0d1","Two paradigms characterize much of the research in the Information Systems discipline: behavioral science and design science. The behavioral-science paradigm seeks to develop and verify theories that explain or predict human or organizational behavior. The design-science paradigm seeks to extend the boundaries of human and organizational capabilities by creating new and innovative artifacts. Both paradigms are foundational to the IS discipline, positioned as it is at the confluence of people, organizations, and technology. Our objective is to describe the performance of design-science research in Information Systems via a concise conceptual framework and clear guidelines for understanding, executing, and evaluating the research. In the design-science paradigm, knowledge and understanding of a problem domain and its solution are achieved in the building and application of the designed artifact. Three recent exemplars in the research literature are used to demonstrate the application of these guidelines. We conclude with an analysis of the challenges of performing high-quality design-science research in the context of the broader IS community.",Article,"Final",Scopus,2-s2.0-0242652022
"Ulrich K.T., Eppinger S.D.",[No title available],1995,"Product Design and Development",5963,,[No abstract available],,,Scopus,2-s2.0-0003579807
"Al-Fuqaha A., Guizani M., Mohammadi M., Aledhari M., Ayyash M.","Internet of Things: A Survey on Enabling Technologies, Protocols, and Applications",2015,"IEEE Communications Surveys and Tutorials",4216,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941085241&doi=10.1109%2fCOMST.2015.2444095&partnerID=40&md5=2c775e20c00babc81c91bea21f3d89f7","This paper provides an overview of the Internet of Things (IoT) with emphasis on enabling technologies, protocols, and application issues. The IoT is enabled by the latest developments in RFID, smart sensors, communication technologies, and Internet protocols. The basic premise is to have smart sensors collaborate directly without human involvement to deliver a new class of applications. The current revolution in Internet, mobile, and machine-to-machine (M2M) technologies can be seen as the first phase of the IoT. In the coming years, the IoT is expected to bridge diverse technologies to enable new applications by connecting physical objects together in support of intelligent decision making. This paper starts by providing a horizontal overview of the IoT. Then, we give an overview of some technical details that pertain to the IoT enabling technologies, protocols, and applications. Compared to other survey papers in the field, our objective is to provide a more thorough summary of the most relevant protocols and application issues to enable researchers and application developers to get up to speed quickly on how the different protocols fit together to deliver desired functionalities without having to go through RFCs and the standards specifications. We also provide an overview of some of the key IoT challenges presented in the recent literature and provide a summary of related research work. Moreover, we explore the relation between the IoT and other emerging technologies including big data analytics and cloud and fog computing. We also present the need for better horizontal integration among IoT services. Finally, we present detailed service use-cases to illustrate how the different protocols presented in the paper fit together to deliver desired IoT services.",Article,"Final",Scopus,2-s2.0-84941085241
"Newman S.",[No title available],2015,"Building Microservices",1046,,[No abstract available],,"Final",Scopus,2-s2.0-84950338538
"Grieves M., Vickers J.","Digital twin: Mitigating unpredictable, undesirable emergent behavior in complex systems",2016,"Transdisciplinary Perspectives on Complex Systems: New Findings and Approaches",549,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006339863&doi=10.1007%2f978-3-319-38756-7_4&partnerID=40&md5=f71116f0b25733bc9554a6f358ddfc0a","Systems do not simply pop into existence. They progress through lifecycle phases of creation, production, operations, and disposal. The issues leading to undesirable and unpredicted emergent behavior are set in place during the phases of creation and production and realized during the operational phase, with many of those problematic issues due to human interaction. We propose that the idea of the Digital Twin, which links the physical system with its virtual equivalent can mitigate these problematic issues. We describe the Digital Twin concept and its development, show how it applies across the product lifecycle in defining and understanding system behavior, and define tests to evaluate how we are progressing. We discuss how the Digital Twin relates to Systems Engineering and how it can address the human interactions that lead to “normal accidents.” We address both Digital Twin obstacles and opportunities, such as system replication and front running. We finish with NASA's current work with the Digital Twin. © Springer International Publishing Switzerland 2017.",Book Chapter,"Final",Scopus,2-s2.0-85006339863
"Becerik-Gerber B., Jazizadeh F., Li N., Calis G.","Application areas and data requirements for BIM-enabled facilities management",2012,"Journal of Construction Engineering and Management",504,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859575621&doi=10.1061%2f%28ASCE%29CO.1943-7862.0000433&partnerID=40&md5=ff02cb8ce9e1f4735b345031c839e3e4","Facilities management (FM) encompasses and requires multidisciplinary activities, and thus has extensive information requirements. While some of these needs are addressed by several existing FM information systems, building information modeling (BIM), which is becoming widely adopted by the construction industry, holds undeveloped possibilities for providing and supporting FM practices with its functionalities of visualization, analysis, control, and so on. This paper explores how BIM can be a beneficial platform for supplementing FM practices. An online survey and face-to-face interviews were conducted to assess the current status of BIM implementations in FM, potential applications, and the level of interest in the utilization of BIM. Interactions between BIM and FM are defined by illustrating application areas and data requirements for BIM-enabled FM practices. Highlighting the synergy between the two, this paper can help professionals recognize potential areas in which BIM can be useful in FM practices. © 2012 American Society of Civil Engineers.",Article,"Final",Scopus,2-s2.0-84859575621
[No author name available],"ITU internet reports 2005: The internet of things",2005,"ITU Internet Reports 2005: The Internet of Things",461,,[No abstract available],,"Final",Scopus,2-s2.0-48649100154
"Sacks R., Eastman C., Lee G., Teicholz P.","BIM Handbook: A Guide to Building Information Modeling for Owners, Designers, Engineers, Contractors, and Facility Managers",2018,"BIM Handbook: A Guide to Building Information Modeling for Owners, Designers, Engineers, Contractors, and Facility Managers",224,,[No abstract available],,"Final",Scopus,2-s2.0-85054559327
"Tang S., Shelden D.R., Eastman C.M., Pishdad-Bozorgi P., Gao X.","A review of building information modeling (BIM) and the internet of things (IoT) devices integration: Present status and future trends",2019,"Automation in Construction",180,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060885881&doi=10.1016%2fj.autcon.2019.01.020&partnerID=40&md5=7f882d4aa0b2c069887a02c5094892d6","The integration of Building Information Modeling (BIM) with real-time data from the Internet of Things (IoT) devices presents a powerful paradigm for applications to improve construction and operational efficiencies. Connecting real-time data streams from the rapidly expanding set of IoT sensor networks to the high-fidelity BIM models provides numerous applications. However, BIM and IoT integration research are still in nascent stages, there is a need to understand the current situation of BIM and IoT device integration. This paper conducts a comprehensive review with the intent to identify common emerging areas of application and common design patterns in the approach to tackling BIM-IoT device integration along with an examination of current limitations and predictions of future research directions. Altogether, 97 papers from 14 AEC related journals and databases in other industry over the last decade were reviewed. Several prevalent domains of application namely Construction Operation and Monitoring, Health & Safety Management, Construction Logistic & Management, and Facility Management were identified. The authors summarized 5 integration methods with description, examples, and discussion. These integration methods are utilizing BIM tools’ APIs and relational database, transform BIM data into a relational database using new data schema, create new query language, using semantic web technologies and hybrid approach. Based on the observed limitations, prominent future research directions are suggested, focusing on service-oriented architecture (SOA) patterns and web services-based strategies for BIM and IoT integration, establishing information integration & management standards, solving interoperability issue, and cloud computing. © 2019 Elsevier B.V.",Review,"Final",Scopus,2-s2.0-85060885881
"Pärn E.A., Edwards D.J., Sing M.C.P.","The building information modelling trajectory in facilities management: A review",2017,"Automation in Construction",171,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006802917&doi=10.1016%2fj.autcon.2016.12.003&partnerID=40&md5=f35273eb3a2fc65085e083adca4d1dac","There is a paucity of literature that examines building information modelling (BIM) for asset management within the architecture, engineering, construction and owner-operated (AECO) sector. This paper therefore presents a thorough review of published literature on the latest research and standards development that impact upon BIM and its application in facilities management (FM) during the operations and maintenance (O&M) phase of building usage. The purpose is to generate new ideas and provide polemic clarity geared to intellectually challenge readers from across a range of academic and industrial disciplines. The findings reveal that significant challenges facing the FM sector include the need for: greater consideration of long-term strategic aspirations; amelioration of data integration/interoperability issues; augmented knowledge management; enhanced performance measurement; and enriched training and competence development for facilities managers to better deal with the amorphous range of services covered by FM. Future work is also proposed in several key areas and includes: case studies to observe and report upon current practice and development; and supplementary research related to concepts of knowledge capture in relation to FM and the growing use of BIM for asset management. © 2016 Elsevier B.V.",Review,"Final",Scopus,2-s2.0-85006802917
"Crespo Márquez A.","The maintenance management framework",2007,"The Maintenance Management Framework: Models and Methods for Complex Systems Maintenance",165,,[No abstract available],,"Final",Scopus,2-s2.0-40949156889
"Sullivan G.P., Pugh R., Melendez A.P., Hunt W.D.","Operations & Maintenance Best Practices",2010,"Operations & Maintenance Best Practices: A Guide to Achieving Operational Efficiency",158,,[No abstract available],,"Final",Scopus,2-s2.0-26444570484
"Kassem M., Kelly G., Dawood N., Serginson M., Lockley S.","BIM in facilities management applications: A case study of a large university complex",2015,"Built Environment Project and Asset Management",146,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84931458663&doi=10.1108%2fBEPAM-02-2014-0011&partnerID=40&md5=a93ae74019e341d56835e75c81c0f7f0","Purpose – Building information modelling (BIM) in facilities management (FM) applications is an emerging area of research based on the theoretical proposition that BIM information, generated and captured during the lifecycle of a facility, can improve its management. Using this proposition as a starting point, the purpose of this paper is to investigate the value of BIM and the challenges affecting its adoption in FM applications. Design/methodology/approach – Two inter-related research methods are utilised. The literature is utilised to identify the application areas, value and challenges of BIM in FM. Due to the lack of case studies identified in the literature review, and to provide empirical evidence of the value and challenges of BIM in FM, a case study of Northumbria University’s city campus, is used to empirically explore the value and challenges of BIM in FM. Findings – The results demonstrated that BIM value in FM stems from improvement to current manual processes of information handover; improvement to the accuracy of FM data, improvement to the accessibility of FM data and efficiency increase in work order execution. The main challenges were the lack of methodologies that demonstrate the tangible benefits of BIM in FM, the limited knowledge of implementation requirement including BIM for FM modelling requirements, the interoperability between BIM and FM technologies, the presence of disparate operational systems managing the same building and finally, the shortage of BIM skills in the FM industry. Originality/value – There is lack of real-life cases on BIM in FM especially for existing assets despite new constructions representing only 1-2 per cent of the total building stock in a typical year. The originality of this paper stems from both adding a real-life case study of BIM in FM and providing empirical evidence of both the value and challenges of BIM in FM applications. © Emerald Group Publishing Limited.",Article,"Final",Scopus,2-s2.0-84931458663
"Chanter B., Swallow P.",[No title available],2007,"Building Maintenance Management",125,,[No abstract available],,"Final",Scopus,2-s2.0-3743127238
"Jia M., Komeily A., Wang Y., Srinivasan R.S.","Adopting Internet of Things for the development of smart buildings: A review of enabling technologies and applications",2019,"Automation in Construction",123,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060881716&doi=10.1016%2fj.autcon.2019.01.023&partnerID=40&md5=f0ff87b6545d4003206b7d0d3ce2e609","The 21st century is witnessing a fast-paced digital revolution. A significant trend is that cyber and physical environments are being unprecedentedly entangled with the emergence of Internet of Things (IoT). IoT has been widely immersed into various domains in the industry. Among those areas where IoT would make significant impacts are building construction, operation, and management by facilitating high-class services, providing efficient functionalities, and moving towards sustainable development goals. So far, IoT itself has entered an ambiguous phase for industrial utilization, and there are limited number of studies focusing on the application of IoT in the building industry. Given the promising future impact of IoT technologies on buildings, and the increasing interests in interdisciplinary research among academics, this paper investigates the state-of-the-art projects and adoptions of IoT for the development of smart buildings within both academia and industry contexts. The wide-ranging IoT concepts are provided, covering the necessary breadth as well as relevant topic depth that directly relates to smart buildings. Current enabling technologies of IoT, especially those applied to buildings and related areas are summarized, which encompasses three different layers based on the conventional IoT architecture. Afterwards, several recent applications of IoT technologies on buildings towards the critical goals of smart buildings are selected and presented. Finally, the priorities and challenges of successful and seamless IoT integration for smart buildings are discussed. Besides, this paper discusses the future research questions to advance the implementation of IoT technologies in both building construction and operation phases. The paper argues that a mature adoption of IoT technologies in the building industry is not yet realized and, therefore, calls for more attention from researchers in the relevant fields from the application perspective. © 2019 Elsevier B.V.",Article,"Final",Scopus,2-s2.0-85060881716
"Akcamete A., Akinci B., Garrett J.H.","Potential utilization of building information models for planning maintenance activities",2010,"Proceedings of the International Conference on Computing in Civil and Building Engineering",114,,[No abstract available],,"Final",Scopus,2-s2.0-84866255031
"McArthur J.J.","A Building Information Management (BIM) Framework and Supporting Case Study for Existing Building Operations, Maintenance and Sustainability",2015,"Procedia Engineering",106,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948396437&doi=10.1016%2fj.proeng.2015.08.450&partnerID=40&md5=466b3ac66d7d0c2a408d5a096b655b99","Building Information Management (BIM) models are transforming how buildings are designed and constructed, and can facilitate multi-disciplinary coordination, and integrate 3D design, analysis, cost estimating, and construction scheduling. By extending the model into the post-occupancy period, BIM models can be used to support Facilities Management and Building Operations, and offer a consolidated interface for information regarding all aspects of building operational performance. Four key challenges must be overcome to develop BIM models suitable for Sustainable Operations management: (1) identification of critical information required to inform Operational decisions, (3) the high level of effort to create new or modify existing BIM models for the building(s), (2) the management of information transfer between real-time operations and monitoring systems and the BIM model, and (4) the handling of uncertainty based on incomplete building documentation. This paper describes the process used to addresses and overcome each of these challenges. The BIM framework and its refinement are presented along with evaluative data from a case study where a model was developed using this framework for a complex university building. The results of this study demonstrate how these BIM models can be developed for the most challenging existing building scenarios and effectively used to improve building management and performance. © 2015 The Authors. Published by Elsevier Ltd.",Conference Paper,"Final",Scopus,2-s2.0-84948396437
"Camburn B., Viswanathan V., Linsey J., Anderson D., Jensen D., Crawford R., Otto K., Wood K.","Design prototyping methods: State of the art in strategies, techniques, and guidelines",2017,"Design Science",98,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051716837&doi=10.1017%2fdsj.2017.10&partnerID=40&md5=51798fcec81815fa02c256796c669387","Prototyping is interwoven with nearly all product, service, and systems development efforts. A prototype is a pre-production representation of some aspect of a concept or final design. Prototyping often predetermines a large portion of resource deployment in development and influences design project success. This review surveys literature sources in engineering, management, design science, and architecture. The study is focused around design prototyping for early stage design. Insights are synthesized from critical review of the literature: key objectives of prototyping, critical review of major techniques, relationships between techniques, and a strategy matrix to connect objectives to techniques. The review is supported with exemplar prototypes provided from industrial design efforts. Techniques are roughly categorized into those that improve the outcomes of prototyping directly, and those that enable prototyping through lowering of cost and time. Compact descriptions of each technique provide a foundation to compare the potential benefits and drawbacks of each. The review concludes with a summary of key observations, highlighted opportunities in the research, and a vision of the future of prototyping. This review aims to provide a resource for designers as well as set a trajectory for continuing innovation in the scientific research of design prototyping. © The Author(s) 2017 Distributed as Open Access under a CC-BY 4.0 license.",Article,"Final",Scopus,2-s2.0-85051716837
"Ali A.S., Kamaruzzaman S.N., Sulaiman R., Cheong Peng Y.","Factors affecting housing maintenance cost in Malaysia",2010,"Journal of Facilities Management",78,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880847343&doi=10.1108%2f14725961011078990&partnerID=40&md5=015307837f5595aced13226d65c62b1e","Purpose – It has been found that the cost for housing maintenance is relatively high due to poor maintenance practices. This paper aims to determine and identify the factors contributing to rising maintenance costs. Design/methodology/approach – A quantitative approach was adopted that sought to gather factual data using the approach taken by El-Haram and Horner. The research first identified the critical factors through a literature review. A total of Eighty questionnaires were then distributed to relevant respondents such as building managers or supervisors, maintenance management staff and others. In total, 31 completed questionnaires formed a database for descriptive and ranking analysis. Findings – The research concluded that five of the most dominant factors were expectation of tenants, building materials, building services, building age and failure to execute maintenance at the right time. Meanwhile, it was found that two of the most influential impacts were outstanding maintenance charges and over-budget. Originality/value – Measures to minimise the housing maintenance cost were obtained, such as participation of tenants and residents in housing management works and allows their acceptance of a lower standard expectation. © 2010, © Emerald Group Publishing Limited.",Article,"Final",Scopus,2-s2.0-84880847343
"Wong J.K.W., Ge J., He S.X.","Digitisation in facilities management: A literature review and future research directions",2018,"Automation in Construction",71,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046644826&doi=10.1016%2fj.autcon.2018.04.006&partnerID=40&md5=f8acfb3f60490224534de7f8d4fb1bad","Research into digital technology (DT) in construction practices has gained widespread attention. While the application of different DTs in facility management (FM) has been growing, to date, there is no holistic review of the various DT developments and research into FM. A total of 120 academic journal papers, conference proceedings and other technical notes published on the subject, mainly between 2004 and 2017, were reviewed in this paper. The applications of various major DTs, including 1) building information modelling (BIM), 2) reality capture technology (including 3D laser scanning, point cloud), 3) the Internet of Things (IoT) (including radio frequency identification (RFID) and sensor network technologies) and 4) geographic information system (GIS), were reviewed and scrutinised. The review identified a number of possibilities for future research into DT in FM, including, enhancing the interoperability of data, improving the accuracy of point cloud data for developing as-built models for existing facilities, and generating effective BIM/GIS asset database integration. It is hoped that this review and the future directions highlighted in this paper will assist researchers in identifying the areas where further research efforts are most required and in identifying which future directions would be most helpful for digital FM research. © 2018 Elsevier B.V.",Review,"Final",Scopus,2-s2.0-85046644826
"Pärn E.A., Edwards D.J.","Conceptualising the FinDD API plug-in: A study of BIM-FM integration",2017,"Automation in Construction",62,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016426450&doi=10.1016%2fj.autcon.2017.03.015&partnerID=40&md5=c29127eb7005b0537fd4849f873278ad","This research paper reports upon a client driven approach to iteratively develop the FinDD application programming interface (API) plug-in. FinDD integrates building information modelling (BIM) and facilities management (FM) via the novel development and application of totems. Totems visualise rich semantic FM data in a 3D object to extend the use and application of COBie thereby minimising costs incurred by the FM team to update and maintain the as-built BIM. Participatory action research was used to develop the proof of concept and involved a study of two multi-storey, mixed-use educational buildings (with a contract value worth ≥£150 million UK Sterling) located within Birmingham, UK. The lead researcher worked for the client's estates department and was instrumental in liaising with members of the project management team, synthesising their semantic data requirements and developing the FinDD API plug-in for Autodesk Revit. Research findings reveal that whilst FinDD was positively received as a bespoke extension of COBie (that was tailored to specifically meet client needs), further development is required to mitigate software inflexibility and augment automation of semantic data transfer, storage and analysis. Future work will validate the API plug-in via user experience and integrate additional databases such as post occupancy evaluations (POE). © 2017",Article,"Final",Scopus,2-s2.0-85016426450
"Christie E.J., Jensen D.D., Buckley R.T., Menefee D.A., Ziegler K.K., Wood K.L., Crawford R.H.","Prototyping strategies: Literature review and identification of critical variables",2012,"ASEE Annual Conference and Exposition, Conference Proceedings",53,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029127053&partnerID=40&md5=906df30832991924474988e5cc04c517","Prototyping is an initial instantiation of a concept as part of the product development process. Prototypes serve numerous purposes both from a business and an engineering standpoint. Businesses use prototypes to gather detailed customer feedback on issues like aesthetics, ergonomics, and theme, as well as for marketing research and cost analysis. Prototyping is used by engineers to provide manufacturing and assembly data, to investigate system integration issues and to develop analysis and testing strategies. In some cases, prototyping is also used in the concept generation phase of the design process to assist designers to either expand or contract the set of possible concepts. Clearly prototyping is an important part of most design processes. We define the prototyping strategy as the set of decisions that dictate what actions will be taken to accomplish the development of the prototype(s). Prototyping strategies include a variety of different options. In the broadest sense, prototypes can be either physical or virtual. Virtual prototypes can include computer simulations and/or engineering analysis. Physical prototypes can be developed either for a subsystem or for the entire system. In addition, physical prototypes can be either full size or dimensionally scaled and can be either fully functional or be created to exhibit only partial functionality. Additional choices that are part of a prototyping strategy include whether one chooses to develop prototypes for a number of concepts in parallel and whether one plans to develop a sequence of prototypes of a concept. The choices made for the prototyping variables identified above can make tremendous differences in the time frame, cost and effectiveness of the prototyping work. However, very little research has been accomplished to identify how these variables should be chosen for a specific design project. In this paper we document an extensive literature review in the general area of prototyping. Prototyping strategies currently in use by a variety of different product developers are identified. When it is possible to identify either a business or engineering perspective, that perspective is noted. The wide variety of different prototyping strategies currently in use are identified and grouped into categories with similar characteristics. Specific differences in the prototyping strategies for business vs. engineering focused work are noted. Based on the literature review, the current state of the art for prototyping strategies is established. Of particular note is the fact that there is a dearth of information in the literature of how the decisions that determine a prototyping strategy are made. In light of this fact, an additional contribution of this paper is to hypothesize a set of characteristics of a design problem that can be used to optimize prototyping strategies. © 2012 American Society for Engineering Education.",Conference Paper,"Final",Scopus,2-s2.0-85029127053
"McGlinn K., Yuce B., Wicaksono H., Howell S., Rezgui Y.","Usability evaluation of a web-based tool for supporting holistic building energy management",2017,"Automation in Construction",47,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028979335&doi=10.1016%2fj.autcon.2017.08.033&partnerID=40&md5=793011a9aada5805ca634446cfcc520d","This paper presents the evaluation of the level of usability of an intelligent monitoring and control interface for energy efficient management of public buildings, called BuildVis, which forms part of a Building Energy Management System (BEMS.) The BEMS ‘intelligence’ is derived from an intelligent algorithm component which brings together ANN-GA rule generation, a fuzzy rule selection engine, and a semantic knowledge base. The knowledge base makes use of linked data and an integrated ontology to uplift heterogeneous data sources relevant to building energy consumption. The developed ontology is based upon the Industry Foundation Classes (IFC), which is a Building Information Modelling (BIM) standard and consists of two different types of rule model to control and manage the buildings adaptively. The populated rules are a mix of an intelligent rule generation approach using Artificial Neural Network (ANN) and Genetic Algorithms (GA), and also data mining rules using Decision Tree techniques on historical data. The resulting rules are triggered by the intelligent controller, which processes available sensor measurements in the building. This generates ‘suggestions’ which are presented to the Facility Manager (FM) on the BuildVis web-based interface. BuildVis uses HTML5 innovations to visualise a 3D interactive model of the building that is accessible over a wide range of desktop and mobile platforms. The suggestions are presented on a zone by zone basis, alerting them to potential energy saving actions. As the usability of the system is seen as a key determinate to success, the paper evaluates the level of usability for both a set of technical users and also the FMs for five European buildings, providing analysis and lessons learned from the approach taken. © 2017",Article,"Final",Scopus,2-s2.0-85028979335
