PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
C	Delbrugger, T; Lenz, LT; Losch, D; Rossmann, J			IEEE	Delbruegger, Tim; Lenz, Lisa Theresa; Losch, Daniel; Rossmann, Juergen			A Navigation Framework for Digital Twins of Factories based on Building Information Modeling	2017 22ND IEEE INTERNATIONAL CONFERENCE ON EMERGING TECHNOLOGIES AND FACTORY AUTOMATION (ETFA)	IEEE International Conference on Emerging Technologies and Factory Automation-ETFA				22nd IEEE International Conference on Emerging Technologies and Factory Automation (ETFA)	SEP 12-15, 2017	Limassol, CYPRUS	IEEE, ABB, ies, Univ Cyprus, Dept Elect Comp Engn																						1946-0740		978-1-5090-6505-9				2017																		WOS:000427812000147						
J	Ito, K				Ito, Kazuhide			Change beyond building information modeling to a "Digital Twin" in architecture	JAPAN ARCHITECTURAL REVIEW																														2475-8876					OCT	2019	2	4					391	391		10.1002/2475-8876.12123								WOS:000489627500001						
J	Mannino, A; Dejaco, MC; Cecconi, FR				Mannino, Antonino; Dejaco, Mario Claudio; Cecconi, Fulvio Re			Building Information Modelling and Internet of Things Integration for Facility Management-Literature Review and Future Needs	APPLIED SCIENCES-BASEL																	Dejaco, Mario Claudio/X-3199-2019; Fulvio, Re Cecconi/T-1438-2018	Dejaco, Mario Claudio/0000-0001-6804-4032; Fulvio, Re Cecconi/0000-0001-7716-8854; Mannino, Antonino/0000-0002-0371-8021													2076-3417				APR	2021	11	7							3062	10.3390/app11073062								WOS:000638313800001						
J	Jiang, F; Ma, L; Broyd, T; Chen, K				Jiang, Feng; Ma, Ling; Broyd, Tim; Chen, Ke			Digital twin and its implementations in the civil engineering sector	AUTOMATION IN CONSTRUCTION																	Ma, Ling/F-6641-2010	Ma, Ling/0000-0002-9187-471X												0926-5805	1872-7891				OCT	2021	130								103838	10.1016/j.autcon.2021.103838								WOS:000686331400002						
J	Oettinghaus, S				Oettinghaus, Sven			Digital construction with Building Information Modeling - the digital twin	WASSERWIRTSCHAFT																														0043-0978						2019	109	5					86	89		10.1007/s35147-019-0053-3								WOS:000466837800019						
J	Babalola, A; Musa, S; Akinlolu, MT; Haupt, TC				Babalola, Ayotunde; Musa, Shamsudeen; Akinlolu, Mariam Temisola; Haupt, Theo C.			A bibliometric review of advances in building information modeling (BIM) research	JOURNAL OF ENGINEERING DESIGN AND TECHNOLOGY																														1726-0531																10.1108/JEDT-01-2021-0013		MAR 2021						WOS:000626744400001						
J	Huynh, D; Nguyen-Ky, S				Huynh, Dat; Nguyen-Ky, Sy			Engaging Building Automation Data Visualisation Using Building Information Modelling and Progressive Web Application	OPEN ENGINEERING																	Nguyen-Ky, Sy/AAV-6337-2021	Nguyen-Ky, Sy/0000-0001-5258-9783												2391-5439					JUN 10	2020	10	1					434	442		10.1515/eng-2020-0054								WOS:000545316400001						
C	Jakobi, M; Kunath, L; Witzig, A		Haberle, A		Jakobi, Marc; Kunath, Lars; Witzig, Andreas			BIM Use-Case: Model-Based Performance Optimization	PROCEEDINGS OF THE ISES EUROSUN 2018 CONFERENCE - 12TH INTERNATIONAL CONFERENCE ON SOLAR ENERGY FOR BUILDINGS AND INDUSTRY					12th International Conference on Solar Energy for Buildings and Industry (ISES EuroSun)	2018	Fachhochschule Ostschweiz, Hochschule Technik Rapperswil, Rapperswil, SWITZERLAND	Hoval, Polysun, Absolicon, Jinko Solar, Solar Technologie Int, Energiestadt Rapperswil Jona, Vogelin Energie & Solartechnik Gmbh, Swissolar, Int Solar Energy Soc	Fachhochschule Ostschweiz, Hochschule Technik Rapperswil																							978-3-9820408-0-6				2018							1395	1402		10.18086/eurosun2018.11.07								WOS:000475550900146						
J	Flora, M; Froch, G; Gachter, W				Flora, Matthias; Froech, Georg; Gaechter, Werner			Optimization of construction management in underground construction using digital infrastructure information models	BAUTECHNIK																														0932-8351	1437-0999				NOV	2020	97	11					780	788		10.1002/bate.201900095		MAR 2020						WOS:000566003400001						
C	Trento, A; Wurzer, G; Coraglia, UM		Sousa, JP; Henriques, GC; Xavier, JP		Trento, Armando; Wurzer, Gabriel; Coraglia, Ugo Maria			A Digital Twin for Directing People Flow in Preserved Heritage Buildings	ECAADE SIGRADI 2019: ARCHITECTURE IN THE AGE OF THE 4TH INDUSTRIAL REVOLUTION, VOL 1					37th Conference on Education-and-Research-in-Computer-Aided-Architectural-Design-in-Europe (eCAADe) / 23rd Conference of the Iberoamerican-Society-Digital-Graphics (SIGraDi)	SEP 11-13, 2019	Univ Porto, Fac Architecture, Porto, PORTUGAL	Iberoamerican Soc Digital Graph, Autodesk, Graphisoft Archicad, Dassault Systemes, Bentley Inst, Educ & Res Comp Aided Architectural Design Europe, ACADIA, CAADRIA, ASCAAD, CAAD Futures	Univ Porto, Fac Architecture																							978-94-91207-17-4				2019							561	568										WOS:000562928600062						
C	Wan, H; David, M; Derigent, W				Wan, H.; David, M.; Derigent, W.			Design of a Multi-Agent System for exploiting the communicating concrete in a SHM/BIM context	IFAC PAPERSONLINE					4th International-Federation-of-Automatic-Control (IFAC) Workshop on Advanced Maintenance Engineering, Services and Technologies (AMEST)	SEP 10-11, 2020	Cambridge, ENGLAND	Int Federat Automat Control, Int Federat Automat Control Tech Comm 5 1 Mfg Plant Control, Int Federat Automat Control Tech Comm 5 2 Mfg Modelling Management & Control, Int Federat Automat Control Tech Comm 5 3 Enterprise Integrat & Networking, Univ Cambridge, Ctr Digital Built Britain, Construct Innovat Hub, Int Federat Automat Control Tech Comm 6 4																						2405-8963						2020	53	3					372	379		10.1016/j.ifacol.2020.11.060								WOS:000600770000063						
C	Gray, FM; Dibowski, H; Gall, J; Braun, S			IEEE	Gray, Francesco Massa; Dibowski, Henrik; Gall, Jan; Braun, Sven			Occupant Feedback and Context Awareness: On the Application of Building Information Modeling and Semantic Technologies for Improved Complaint Management in Commercial Buildings	2020 25TH IEEE INTERNATIONAL CONFERENCE ON EMERGING TECHNOLOGIES AND FACTORY AUTOMATION (ETFA)	IEEE International Conference on Emerging Technologies and Factory Automation-ETFA				25th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA)	SEP 08-11, 2020	Vienna, AUSTRIA	Inst Elect & Elect Engineers, IEEE Ind Elect Soc, TU Wien, Inst Comp Technol																						1946-0740	1946-0759	978-1-7281-8956-7				2020							101	108										WOS:000627406500012						
J	Camposano, JC; Smolander, K; Ruippo, T				Camposano, Jose Carlos; Smolander, Kari; Ruippo, Tuomas			Seven Metaphors to Understand Digital Twins of Built Assets	IEEE ACCESS																	; Smolander, Kari/B-4581-2015	Camposano, Jose Carlos/0000-0002-7782-5700; Smolander, Kari/0000-0002-7043-0458												2169-3536						2021	9						27167	27181		10.1109/ACCESS.2021.3058009								WOS:000619313900001						
C	Papadonikolaki, E; Leon, M; Mahamadu, AM		Karlshoj, J; Scherer, R		Papadonikolaki, E.; Leon, M.; Mahamadu, A. M.			BIM solutions for construction lifecycle: A myth or a tangible future?	EWORK AND EBUSINESS IN ARCHITECTURE, ENGINEERING AND CONSTRUCTION					12th European Conference on Product and Process Modelling (ECPPM)	SEP 12-14, 2018	Copenhagen, DENMARK										Papadonikolaki, Eleni/N-6791-2015	Papadonikolaki, Eleni/0000-0003-1952-1570; Mahamadu, Abdul-Majeed/0000-0001-7757-8562														978-0-429-50621-5; 978-1-138-58413-6				2018							321	328										WOS:000460971200040						
C	Korinek, M; Tazlar, O; Stekerova, K		Maci, J; Maresova, P; Firlej, K; Soukal, I		Korinek, Milan; Tazlar, Ondrej; Stekerova, Kamila			Digital Twin Models: BIM Meets NetLogo	HRADEC ECONOMIC DAYS, VOL 11(1)	Hradec Economic Days				19th International Scientific Conference on Hradec Economic Days	MAR 25-26, 2021	Hradec Kralove, CZECH REPUBLIC	Univ Hardec Kralove, Fac Informat & Management, Wroclaw Univ Econ, Cracow Univ Econ, Univ S Bohemia, Off Transfer Technologies																						2464-6059	2464-6067	978-80-7435-822-7				2021	11		1				394	400		10.36689/uhk/hed/2021-01-040								WOS:000670596900040						
J	Youn, HC; Yoon, JS; Ryoo, SL				Youn, Hyun-Chul; Yoon, Jun-Seop; Ryoo, Seong-Lyong			HBIM for the Characteristics of Korean Traditional Wooden Architecture: Bracket Set Modelling Based on 3D Scanning	BUILDINGS																															2075-5309				NOV	2021	11	11							506	10.3390/buildings11110506								WOS:000725776300001						
J	Zhang, JY; Cheng, JCP; Chen, WW; Chen, KY				Zhang, Jiaying; Cheng, Jack C. P.; Chen, Weiwei; Chen, Keyu			Digital Twins for Construction Sites: Concepts, LoD Definition, and Applications	JOURNAL OF MANAGEMENT IN ENGINEERING																														0742-597X	1943-5479				MAR 1	2022	38	2							04021094	10.1061/(ASCE)ME.1943-5479.0000948								WOS:000742413700004						
C	Mayer, H		Klein, C; Donnellan, B; Helfert, M		Mayer, Hermann			Digitalization of Legacy Building Data Preparation of Printed Building Plans for the BIM Process	PROCEEDINGS OF THE 7TH INTERNATIONAL CONFERENCE ON SMART CITIES AND GREEN ICT SYSTEMS (SMARTGREENS)					7th International Conference on Smart Cities and Green ICT Systems (SMARTGREENS)	MAR 16-18, 2018	Funchal, PORTUGAL																									978-989-758-292-9				2018							304	310		10.5220/0006783103040310								WOS:000671863200034						
J	Li, X; Lu, WS; Xue, F; Wu, LPF; Zhao, R; Lou, JF; Xu, JY				Li, Xiao; Lu, Weisheng; Xue, Fan; Wu, Liupengfei; Zhao, Rui; Lou, Jinfeng; Xu, Jinying			Blockchain-Enabled IoT-BIM Platform for Supply Chain Management in Modular Construction	JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT																	Xue, Fan/H-9198-2012; /E-2899-2010	Xue, Fan/0000-0003-2217-3693; /0000-0003-4674-0357; Liupengfei, Wu/0000-0002-3768-9142												0733-9364	1943-7862				FEB 1	2022	148	2							04021195	10.1061/(ASCE)CO.1943-7862.0002229								WOS:000730389800013						
J	Taraben, J; Morgenthal, G				Taraben, Jakob; Morgenthal, Guido			Methods for the Automated Assignment and Comparison of Building Damage Geometries	ADVANCED ENGINEERING INFORMATICS																														1474-0346	1873-5320				JAN	2021	47								101186	10.1016/j.aei.2020.101186								WOS:000630364600001						
C	Lu, QC; Xie, X; Heaton, J; Parlikad, AK; Schooling, J		Borangiu, T; Trentesaux, D; Leitao, P; Boggino, AG; Botti, V		Lu, Qiuchen; Xie, Xiang; Heaton, James; Parlikad, Ajith Kumar; Schooling, Jennifer			From BIM Towards Digital Twin: Strategy and Future Development for Smart Asset Management	SERVICE ORIENTED, HOLONIC AND MULTI-AGENT MANUFACTURING SYSTEMS FOR INDUSTRY OF THE FUTURE	Studies in Computational Intelligence				9th International Workshop on Service Oriented, Holonic and Multi-Agent Manufacturing Systems for the Industry of the Future (SOHOMA)	OCT 03-04, 2019	Valencia, SPAIN	Univ Politecnica Valencia, Univ Politehnica Bucharest, CIMR Res Ctr Comp Integrated Mfg & Robot, Polytechn Univ Hauts France, LAMIH Lab Ind & Human Automat Control Mech Engn & Com Sci, Polytechn Inst Braganca, CeDRI Res Ctr Digitalizat & Intelligent Robot									Parlikad, Ajith Kumar/A-5269-2010	Parlikad, Ajith Kumar/0000-0001-6214-1739; Xie, Xiang/0000-0003-4601-9519												1860-949X	1860-9503	978-3-030-27477-1; 978-3-030-27476-4				2020	853						392	404		10.1007/978-3-030-27477-1_30								WOS:000620144800030						
J	Kaewunruen, S; Xu, NF				Kaewunruen, Sakdirat; Xu, Ningfang			Digital Twin for Sustainability Evaluation of Railway Station Buildings	FRONTIERS IN BUILT ENVIRONMENT																	Kaewunruen, Sakdirat/A-6793-2008	Kaewunruen, Sakdirat/0000-0003-2153-3538													2297-3362				DEC 10	2018	4								77	10.3389/fbuil.2018.00077								WOS:000559257400001						
J	Lee, D; Lee, S				Lee, Dongmin; Lee, SangHyun			Digital Twin for Supply Chain Coordination in Modular Construction	APPLIED SCIENCES-BASEL																		Lee, SangHyun/0000-0002-2246-7440													2076-3417				JUL	2021	11	13							5909	10.3390/app11135909								WOS:000672284600001						
J	Porsani, GB; de Lersundi, KD; Gutierrez, ASO; Bandera, CF				Bastos Porsani, Gabriela; Del Valle de Lersundi, Kattalin; Sanchez-Ostiz Gutierrez, Ana; Fernandez Bandera, Carlos			Interoperability between Building Information Modelling (BIM) and Building Energy Model (BEM)	APPLIED SCIENCES-BASEL																	; Sanchez-Ostiz, Ana/T-8024-2017	Del Valle de Lersundi, Kattalin/0000-0001-8535-5895; Sanchez-Ostiz, Ana/0000-0002-4440-4643; Fernandez Bandera, Carlos/0000-0001-9220-3291; Bastos Porsani, Gabriela/0000-0002-4572-370X													2076-3417				MAR	2021	11	5							2167	10.3390/app11052167								WOS:000627981100001						
