PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Moretti, N; Cadena, JDB; Mannino, A; Poli, T; Cecconi, FR				Moretti, Nicola; Cadena, J. D. Blanco; Mannino, A.; Poli, T.; Cecconi, F. Re			Maintenance service optimization in smart buildings through ultrasonic sensors network	INTELLIGENT BUILDINGS INTERNATIONAL																	Moretti, Nicola/T-1347-2018; CADENA, JUAN DIEGO BLANCO/AAG-3461-2019; RE CECCONI, FULVIO/T-1438-2018	Moretti, Nicola/0000-0002-7197-8677; CADENA, JUAN DIEGO BLANCO/0000-0003-3022-4251; RE CECCONI, FULVIO/0000-0001-7716-8854; Mannino, Antonino/0000-0002-0371-8021												1750-8975	1756-6932					2021	13	1					4	16		10.1080/17508975.2020.1765723								WOS:000631800300003						
J	Patacas, J; Dawood, N; Kassem, M				Patacas, Joao; Dawood, Nashwan; Kassem, Mohamad			BIM for facilities management: A framework and a common data environment using open standards	AUTOMATION IN CONSTRUCTION																														0926-5805	1872-7891				DEC	2020	120								103366	10.1016/j.autcon.2020.103366								WOS:000594148000002						
J	Lu, QC; Xie, X; Parlikad, AK; Schooling, JM				Lu, Qiuchen; Xie, Xiang; Parlikad, Ajith Kumar; Schooling, Jennifer Mary			Digital twin-enabled anomaly detection for built asset monitoring in operation and maintenance	AUTOMATION IN CONSTRUCTION																		Xie, Xiang/0000-0003-4601-9519												0926-5805	1872-7891				OCT	2020	118								103277	10.1016/j.autcon.2020.103277								WOS:000572920300006						
J	Boje, C; Guerriero, A; Kubicki, S; Rezgui, Y				Boje, Calin; Guerriero, Annie; Kubicki, Sylvain; Rezgui, Yacine			Towards a semantic Construction Digital Twin: Directions for future research	AUTOMATION IN CONSTRUCTION																	Rezgui, Yacine/ABE-6712-2020; Kubicki, Sylvain/I-6965-2019	Rezgui, Yacine/0000-0002-5711-8400; Kubicki, Sylvain/0000-0003-2985-0378; Boje, Calin/0000-0002-5150-9355; Guerriero, Annie/0000-0002-8804-1995												0926-5805	1872-7891				JUN	2020	114								103179	10.1016/j.autcon.2020.103179								WOS:000526785800022						
J	Lu, QC; Parlikad, AK; Woodall, P; Ranasinghe, GD; Xie, X; Liang, ZL; Konstantinou, E; Heaton, J; Schooling, J				Lu, Qiuchen; Parlikad, Ajith Kumar; Woodall, Philip; Ranasinghe, Gishan Don; Xie, Xiang; Liang, Zhenglin; Konstantinou, Eirini; Heaton, James; Schooling, Jennifer			Developing a Digital Twin at Building and City Levels: Case Study of West Cambridge Campus	JOURNAL OF MANAGEMENT IN ENGINEERING																	Konstantinou, Eirini/AAZ-9905-2021	Konstantinou, Eirini/0000-0003-3652-5557; Schooling, Jennifer/0000-0002-4777-0438; Don Ranasinghe, Gishan/0000-0001-6658-3286; Xie, Xiang/0000-0003-4601-9519												0742-597X	1943-5479				MAY 1	2020	36	3							05020004	10.1061/(ASCE)ME.1943-5479.0000763								WOS:000563797200010						
J	Rinaldi, S; Bellagente, P; Ciribini, ALC; Tagliabue, LC; Poli, T; Mainini, AG; Speroni, A; Cadena, JDB; Spagnolo, SL				Rinaldi, Stefano; Bellagente, Paolo; Ciribini, Angelo Luigi Camillo; Tagliabue, Lavinia Chiara; Poli, Tiziana; Mainini, Andrea Giovanni; Speroni, Alberto; Cadena, Juan Diego Blanco; Spagnolo, Sonia Lupica			A Cognitive-Driven Building Renovation for Improving Energy Efficiency: The Experience of the ELISIR Project	ELECTRONICS																	Spagnolo, Sonia Lupica/K-9275-2015; CADENA, JUAN DIEGO BLANCO/AAG-3461-2019; Bellagente, Paolo/Q-2113-2016; Rinaldi, Stefano/Q-2107-2016	Spagnolo, Sonia Lupica/0000-0003-1383-3063; CADENA, JUAN DIEGO BLANCO/0000-0003-3022-4251; Bellagente, Paolo/0000-0002-3446-2604; Rinaldi, Stefano/0000-0001-7300-1053; Speroni, Alberto/0000-0002-3697-4312; Tagliabue, Lavinia Chiara/0000-0002-3059-4204													2079-9292				APR	2020	9	4							666	10.3390/electronics9040666								WOS:000539533200125						
J	Andrade, RO; Yoo, SG				Andrade, Roberto Omar; Yoo, Sang Guun			A Comprehensive Study of the Use of LoRa in the Development of Smart Cities	APPLIED SCIENCES-BASEL																	Andrade, Roberto/AAI-1954-2019; Yoo, Sang Guun/R-5327-2016	Yoo, Sang Guun/0000-0003-1376-3843													2076-3417				NOV 2	2019	9	22							4753	10.3390/app9224753								WOS:000502570800030						
J	Herbers, P; Konig, M				Herbers, Patrick; Koenig, Markus			Indoor Localization for Augmented Reality Devices Using BIM, Point Clouds, and Template Matching	APPLIED SCIENCES-BASEL																		Herbers, Patrick/0000-0002-9498-552X; Konig, Markus/0000-0002-2729-7743													2076-3417				OCT	2019	9	20							4260	10.3390/app9204260								WOS:000496269400063						
J	Santos, R; Costa, AA; Silvestre, JD; Pyl, L				Santos, Ruben; Costa, Antonio Aguiar; Silvestre, Jose D.; Pyl, Lincy			Integration of LCA and LCC analysis within a BIM-based environment	AUTOMATION IN CONSTRUCTION																	Silvestre, José Dinis/C-1699-2009; Santos, Ruben/F-1284-2014; Costa, Antonio Aguiar/G-2467-2010	Silvestre, José Dinis/0000-0002-3330-2000; Santos, Ruben/0000-0001-8300-1516; Costa, Antonio Aguiar/0000-0002-5123-4451												0926-5805	1872-7891				JUL	2019	103						127	149		10.1016/j.autcon.2019.02.011								WOS:000466828500010						
J	Moretti, N; Cecconi, FR				Moretti, Nicola; Cecconi, Fulvio Re			A Cross-Domain Decision Support System to Optimize Building Maintenance	BUILDINGS																	Fulvio, Re Cecconi/T-1438-2018; Nicola, Moretti/AAK-1467-2020; Moretti, Nicola/T-1347-2018	Fulvio, Re Cecconi/0000-0001-7716-8854; Moretti, Nicola/0000-0002-7197-8677													2075-5309				JUL	2019	9	7							161	10.3390/buildings9070161								WOS:000478645000006						
J	Dixit, MK; Venkatraj, V; Ostadalimakhmalbaf, M; Pariafsai, F; Lavy, S				Dixit, Manish K.; Venkatraj, Varusha; Ostadalimakhmalbaf, Mohammadreza; Pariafsai, Fatemeh; Lavy, Sarel			Integration of facility management and building information modeling (BIM) A review of key issues and challenges	FACILITIES																	Pariafsai, Fatemeh/AAS-8922-2020	Dixit, Manish/0000-0001-8622-8388												0263-2772	1758-7131				MAY 7	2019	37	7-8			SI		455	483		10.1108/F-03-2018-0043								WOS:000464013300006						
J	Tang, S; Shelden, DR; Eastman, CM; Pishdad-Bozorgi, P; Gao, XH				Tang, Shu; Shelden, Dennis R.; Eastman, Charles M.; Pishdad-Bozorgi, Pardis; Gao, Xinghua			A review of building information modeling (BIM) and the internet of things (IoT) devices integration: Present status and future trends	AUTOMATION IN CONSTRUCTION																	Bagga, Ankit/AAG-8019-2021; Tang, Shu/ABC-9944-2021	Tang, Shu/0000-0002-9796-2737												0926-5805	1872-7891				MAY	2019	101						127	139		10.1016/j.autcon.2019.01.020								WOS:000461130000010						
C	Jourdan, M; Meyer, F; Bacher, JP		Scartezzini, JL; Smith, B		Jourdan, Matthieu; Meyer, Florian; Bacher, Jean-Philippe			Towards an integrated approach of building-data management through the convergence of Building Information Modelling and Internet of Things	CLIMATE RESILIENT CITIES - ENERGY EFFICIENCY & RENEWABLES IN THE DIGITAL ERA (CISBAT 2019)	Journal of Physics Conference Series				International Conference on Climate Resilient Cities - Energy Efficiency and Renewables in the Digital Era (CISBAT)	SEP 04-06, 2019	Ecole Polytechnique Fed Lausanne, Solar Energy & Building Phys Lab, Lausanne, SWITZERLAND	Swiss Fed Off Energy	Ecole Polytechnique Fed Lausanne, Solar Energy & Building Phys Lab									Bacher, Jean-Philippe/0000-0002-4231-9883												1742-6588	1742-6596					2019	1343								012135	10.1088/1742-6596/1343/1/012135								WOS:000561852800135						
J	Wong, JKW; Ge, J; He, SX				Wong, Johnny Kwok Wai; Ge, Janet; He, Sean Xiangjian			Digitisation in facilities management: A literature review and future research directions	AUTOMATION IN CONSTRUCTION																	Ge, Xin/AAA-1843-2022													0926-5805	1872-7891				AUG	2018	92						312	326		10.1016/j.autcon.2018.04.006								WOS:000439254100022						
J	Chang, KM; Dzeng, RJ; Wu, YJ				Chang, Kai-Ming; Dzeng, Ren-Jye; Wu, Yi-Ju			An Automated IoT Visualization BIM Platform for Decision Support in Facilities Management	APPLIED SCIENCES-BASEL																														2076-3417					JUL	2018	8	7							1086	10.3390/app8071086								WOS:000441814300076						
J	Cheung, WF; Lin, TH; Lin, YC				Cheung, Weng-Fong; Lin, Tzu-Hsuan; Lin, Yu-Cheng			A Real-Time Construction Safety Monitoring System for Hazardous Gas Integrating Wireless Sensor Network and Building Information Modeling Technologies	SENSORS																		Lin, Tzu-Hsuan/0000-0001-7833-5394												1424-8220					FEB	2018	18	2							436	10.3390/s18020436								WOS:000427544000119	29393887					
J	Maltese, S; Branca, G; Cecconi, FR; Moretti, N				Maltese, Sebastiano; Branca, Giovanni; Cecconi, Fulvio Re; Moretti, Nicola			Ifc-based Maintenance Budget Allocation	IN BO-RICERCHE E PROGETTI PER IL TERRITORIO LA CITTA E L ARCHITETTURA																	Fulvio, Re Cecconi/T-1438-2018; Moretti, Nicola/T-1347-2018; Nicola, Moretti/AAK-1467-2020	Fulvio, Re Cecconi/0000-0001-7716-8854; Moretti, Nicola/0000-0002-7197-8677; 												2036-1602						2018	9	13					44	51										WOS:000454452600005						
J	McGlinn, K; Yuce, B; Wicaksono, H; Howell, S; Rezgui, Y				McGlinn, Kris; Yuce, Baris; Wicaksono, Hendro; Howell, Shaun; Rezgui, Yacine			Usability evaluation of a web-based tool for supporting holistic building energy management	AUTOMATION IN CONSTRUCTION																	Rezgui, Yacine/ABE-6712-2020	Rezgui, Yacine/0000-0002-5711-8400; Yuce, Baris/0000-0002-9937-1535												0926-5805	1872-7891				DEC	2017	84						154	165		10.1016/j.autcon.2017.08.033								WOS:000413607600013						
J	Alves, M; Carreira, P; Costa, AA				Alves, Miguel; Carreira, Paulo; Costa, Antonio Aguiar			BIMSL: A generic approach to the integration of building information models with real-time sensor data	AUTOMATION IN CONSTRUCTION																	Costa, Antonio Aguiar/G-2467-2010	Costa, Antonio Aguiar/0000-0002-5123-4451												0926-5805	1872-7891				DEC	2017	84						304	314		10.1016/j.autcon.2017.09.005								WOS:000413607600025						
J	Solihin, W; Eastman, C; Lee, YC; Yang, DH				Solihin, Wawan; Eastman, Charles; Lee, Yong-Cheol; Yang, Dong-Hoon			A simplified relational database schema for transformation of BIM data into a query-efficient and spatially enabled database	AUTOMATION IN CONSTRUCTION																	Jeong, Yongwook/N-7413-2016	Solihin, Wawan/0000-0001-7538-5265												0926-5805	1872-7891				DEC	2017	84						367	383		10.1016/j.autcon.2017.10.002								WOS:000413607600031						
J	Hu, S; Corry, E; Curry, E; Turner, WJN; O'Donnell, J				Hu, Shushan; Corry, Edward; Curry, Edward; Turner, William J. N.; O'Donnell, James			Building performance optimisation: A hybrid architecture for the integration of contextual information and time-series data	AUTOMATION IN CONSTRUCTION																		Curry, Edward/0000-0001-8236-6433; O'Donnell, James/0000-0002-5881-9989												0926-5805	1872-7891				OCT	2016	70						51	61		10.1016/j.autcon.2016.05.018								WOS:000381835300005						
J	Woo, JH; Peterson, MA; Gleason, B				Woo, Jeong-Han; Peterson, Mark A.; Gleason, Blake			Developing a Virtual Campus Model in an Interactive Game-Engine Environment for Building Energy Benchmarking	JOURNAL OF COMPUTING IN CIVIL ENGINEERING																														0887-3801	1943-5487				SEP	2016	30	5								10.1061/(ASCE)CP.1943-5487.0000600								WOS:000383150200009						
C	Alizadehsalehi, S; Yitmen, I		Drusa, M; Yilmaz, I; Marschalko, M; Coisson, E; Segalini, A		Alizadehsalehi, Sepehr; Yitmen, Ibrahim			The Impact of Field Data Capturing Technologies on Automated Construction Project Progress Monitoring	WORLD MULTIDISCIPLINARY CIVIL ENGINEERING-ARCHITECTURE-URBAN PLANNING SYMPOSIUM 2016, WMCAUS 2016	Procedia Engineering				World Multidisciplinary Civil Engineering-Architecture-Urban Planning Symposium (WMCAUS)	JUN 13-17, 2016	Prague, CZECH REPUBLIC										Alizadehsalehi, Sepehr/R-7426-2018	Alizadehsalehi, Sepehr/0000-0003-1567-2590												1877-7058						2016	161						97	103		10.1016/j.proeng.2016.08.504								WOS:000387566500016						
J	Dave, B; Kubler, S; Framling, K; Koskela, L				Dave, Bhargav; Kubler, Sylvain; Framling, Kary; Koskela, Lauri			Opportunities for enhanced lean construction management using Internet of Things standards	AUTOMATION IN CONSTRUCTION																	Koskela, Lauri/B-2359-2010; Främling, Kary Å/G-2222-2013; Bahroun, Zied/F-6863-2019	Främling, Kary Å/0000-0002-8078-5172; Bahroun, Zied/0000-0003-2832-3672; Kubler, Sylvain/0000-0001-7672-7837; Koskela, Lauri/0000-0003-4449-2281												0926-5805	1872-7891				JAN	2016	61						86	97		10.1016/j.autcon.2015.10.009								WOS:000366779700008						
