PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
C	Wolf, J; Richter, R; Dollner, J		Claudio, AP; Bouatouch, K; Braz, J		Wolf, Johannes; Richter, Rico; Doellner, Juergen			Techniques for Automated Classification and Segregation of Mobile Mapping 3D Point Clouds	PROCEEDINGS OF THE 14TH INTERNATIONAL JOINT CONFERENCE ON COMPUTER VISION, IMAGING AND COMPUTER GRAPHICS THEORY AND APPLICATIONS (GRAPP), VOL 1					14th International Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications (GRAPP)	FEB 25-27, 2019	Prague, CZECH REPUBLIC																									978-989-758-354-4				2019							201	208		10.5220/0007308802010208								WOS:000671872200019						
J	Mura, C; Wyss, G; Pajarola, R				Mura, Claudio; Wyss, Gregory; Pajarola, Renato			Robust normal estimation in unstructured 3D point clouds by selective normal space exploration	VISUAL COMPUTER					35th Computer Graphics International conference (CGI)	JUN 11-14, 2018	INDONESIA	Comp Graph Soc, Nanyang Technol Univ										Pajarola, Renato/0000-0002-6724-526X												0178-2789	1432-2315				JUN	2018	34	6-8			SI		961	971		10.1007/s00371-018-1542-6								WOS:000433557400019						
J	Bonaventura, X; Feixas, M; Sbert, M; Chuang, L; Wallraven, C				Bonaventura, Xavier; Feixas, Miquel; Sbert, Mateu; Chuang, Lewis; Wallraven, Christian			A Survey of Viewpoint Selection Methods for Polygonal Models	ENTROPY																	Chuang, Lewis/U-4430-2017; Bonaventura, Xavier/C-6258-2014; Feixas, Miquel/F-6762-2016	Chuang, Lewis/0000-0002-1975-5716; Bonaventura, Xavier/0000-0003-4069-3991; Feixas, Miquel/0000-0001-6512-7588													1099-4300				MAY	2018	20	5							370	10.3390/e20050370								WOS:000435193100063	33265460					
C	Discher, S; Richter, R; Dollner, J		Spencer, SN		Discher, Soeren; Richter, Rico; Doellner, Juergen			A Scalable WebGL-based Approach for Visualizing Massive 3D Point Clouds using Semantics-Dependent Rendering Techniques	WEB3D 2018: THE 23RD INTERNATIONAL ACM CONFERENCE ON 3D WEB TECHNOLOGY					23rd ACM International Conference on 3D Web Technology	JUN 20-22, 2018	Poznan Univ Econ & Business, Poznan, POLAND	Assoc Comp Machinery, ACM SIGGRAPH	Poznan Univ Econ & Business																							978-1-4503-5800-2				2018									19	10.1145/3208806.3208816								WOS:000473392700019						
C	Kanezaki, A; Matsushita, Y; Nishida, Y			IEEE	Kanezaki, Asako; Matsushita, Yasuyuki; Nishida, Yoshifumi			RotationNet: Joint Object Categorization and Pose Estimation Using Multiviews from Unsupervised Viewpoints	2018 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR)	IEEE Conference on Computer Vision and Pattern Recognition				31st IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)	JUN 18-23, 2018	Salt Lake City, UT	IEEE, CVF, IEEE Comp Soc									Nishida, Yoshifumi/K-9491-2017; Kanezaki, Asako/A-8515-2017	Kanezaki, Asako/0000-0003-3217-1405												1063-6919		978-1-5386-6420-9				2018							5010	5019		10.1109/CVPR.2018.00526								WOS:000457843605017						
C	Huang, X; Wang, MT; Zhang, DJ; Zhu, Y; Zou, L; Sun, J; Han, F; He, LC			IEEE	Huang, Xiang; Wang, Mantao; Zhang, Dejun; Zhu, Yu; Zou, Lu; Sun, Jun; Han, Fei; He, Linchao			Multi-view Fusion with Deep Learning for 3D Shape Classification	2018 INTERNATIONAL CONFERENCE ON AUDIO, LANGUAGE AND IMAGE PROCESSING (ICALIP)					International Conference on Audio, Language and Image Processing (ICALIP)	JUL 16-17, 2018	Shanghai, PEOPLES R CHINA	IEEE										He, Linchao/0000-0002-0562-3026														978-1-5386-5195-7				2018							189	194										WOS:000455120900035						
C	You, HX; Feng, YF; Ji, RR; Gao, Y			ACM	You, Haoxuan; Feng, Yifan; Ji, Rongrong; Gao, Yue			PVNet: A Joint Convolutional Network of Point Cloud and Multi-View for 3D Shape Recognition	PROCEEDINGS OF THE 2018 ACM MULTIMEDIA CONFERENCE (MM'18)					26th ACM Multimedia Conference (MM)	OCT 22-26, 2018	Seoul, SOUTH KOREA	Assoc Comp Machinery, ACM SIGMM										You, Haoxuan/0000-0002-7912-4035														978-1-4503-5665-7				2018							1310	1318		10.1145/3240508.3240702								WOS:000509665700164						
J	Wang, PS; Liu, Y; Guo, YX; Sun, CY; Tong, X				Wang, Peng-Shuai; Liu, Yang; Guo, Yu-Xiao; Sun, Chun-Yu; Tong, Xin			O-CNN: Octree-based Convolutional Neural Networks for 3D Shape Analysis	ACM TRANSACTIONS ON GRAPHICS																	Liu, Yang/ABD-2239-2020; Wang, Peng-Shuai/AAK-6216-2021													0730-0301	1557-7368				JUL	2017	36	4							72	10.1145/3072959.3073608								WOS:000406432100040						
J	Ioannidou, A; Chatzilari, E; Nikolopoulos, S; Kompatsiaris, I				Ioannidou, Anastasia; Chatzilari, Elisavet; Nikolopoulos, Spiros; Kompatsiaris, Ioannis			Deep Learning Advances in Computer Vision with 3D Data: A Survey	ACM COMPUTING SURVEYS																	Kompatsiaris, Ioannis/P-8594-2015	Kompatsiaris, Ioannis/0000-0001-6447-9020; Nikolopoulos, Spiros/0000-0002-1367-5133; Chatzilari, Elisavet/0000-0001-5775-1356												0360-0300	1557-7341				JUN	2017	50	2							20	10.1145/3042064								WOS:000405193800004						
C	Qi, CR; Su, H; Mo, KC; Guibas, LJ			IEEE	Qi, Charles R.; Su, Hao; Mo, Kaichun; Guibas, Leonidas J.			PointNet: Deep Learning on Point Sets for 3D Classification and Segmentation	30TH IEEE CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR 2017)	IEEE Conference on Computer Vision and Pattern Recognition				30th IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)	JUL 21-26, 2017	Honolulu, HI	IEEE, IEEE Comp Soc, CVF																						1063-6919		978-1-5386-0457-1				2017							77	85		10.1109/CVPR.2017.16								WOS:000418371400009						
C	Huang, J; You, SY			IEEE	Huang, Jing; You, Suya			Point Cloud Labeling using 3D Convolutional Neural Network	2016 23RD INTERNATIONAL CONFERENCE ON PATTERN RECOGNITION (ICPR)	International Conference on Pattern Recognition				23rd International Conference on Pattern Recognition (ICPR)	DEC 04-08, 2016	Mexican Assoc Comp Vis Robot & Neural Comp, Cancun, MEXICO	Int Assoc Pattern Recognit, Int Conf Pattern Recognit, Org Comm, Elsevier, IBM Res, INTEL, CONACYT	Mexican Assoc Comp Vis Robot & Neural Comp																					1051-4651		978-1-5090-4847-2				2016							2670	2675										WOS:000406771302108						
J	Russakovsky, O; Deng, J; Su, H; Krause, J; Satheesh, S; Ma, S; Huang, ZH; Karpathy, A; Khosla, A; Bernstein, M; Berg, AC; Fei-Fei, L				Russakovsky, Olga; Deng, Jia; Su, Hao; Krause, Jonathan; Satheesh, Sanjeev; Ma, Sean; Huang, Zhiheng; Karpathy, Andrej; Khosla, Aditya; Bernstein, Michael; Berg, Alexander C.; Fei-Fei, Li			ImageNet Large Scale Visual Recognition Challenge	INTERNATIONAL JOURNAL OF COMPUTER VISION																		Russakovsky, Olga/0000-0001-5272-3241; Bernstein, Michael/0000-0001-8020-9434												0920-5691	1573-1405				DEC	2015	115	3					211	252		10.1007/s11263-015-0816-y								WOS:000365089800001						
C	Su, H; Maji, S; Kalogerakis, E; Learned-Miller, E			IEEE	Su, Hang; Maji, Subhransu; Kalogerakis, Evangelos; Learned-Miller, Erik			Multi-view Convolutional Neural Networks for 3D Shape Recognition	2015 IEEE INTERNATIONAL CONFERENCE ON COMPUTER VISION (ICCV)	IEEE International Conference on Computer Vision				IEEE International Conference on Computer Vision	DEC 11-18, 2015	Santiago, CHILE	Amazon, Microsoft, Sansatime, Baidu, Intel, Facebook, Adobe, Panasonic, 360, Google, Omron, Blippar, iRobot, Hiscene, nVidia, Mvrec, Viscovery, AiCure										Kalogerakis, Evangelos/0000-0002-5867-5735												1550-5499		978-1-4673-8390-5				2015							945	953		10.1109/ICCV.2015.114								WOS:000380414100106						
C	Kim, DI; Sukhatme, GS			IEEE	Kim, David Inkyu; Sukhatme, Gaurav S.			Semantic Labeling of 3D Point Clouds with Object Affordance for Robot Manipulation	2014 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION (ICRA)	IEEE International Conference on Robotics and Automation ICRA				IEEE International Conference on Robotics and Automation (ICRA)	MAY 31-JUN 07, 2014	Hong Kong, PEOPLES R CHINA	IEEE																						1050-4729	2577-087X	978-1-4799-3685-4				2014							5578	5584										WOS:000377221105093						
C	Lai, K; Bo, LF; Ren, XF; Fox, D			IEEE	Lai, Kevin; Bo, Liefeng; Ren, Xiaofeng; Fox, Dieter			A Large-Scale Hierarchical Multi-View RGB-D Object Dataset	2011 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION (ICRA)	IEEE International Conference on Robotics and Automation ICRA				IEEE International Conference on Robotics and Automation (ICRA)	MAY 09-13, 2011	Shanghai, PEOPLES R CHINA	IEEE, Robot & Automat Soc, Minist Educ China, Minist Sci & Technol China, Natl Nat Sci Fdn China, Sci & Technol Commiss Shanghai Municipal, Shanghai Jiao Tong Univ, State Key Lab Mech Syst & Vibrat, Huazhong Univ Sci & Technol, State Key Lab Digital Mfg Equipment & Technol, Harbin Inst Technol, State Key Lab Robot & Syst, Zhejiang Univ, Inst Cyber-Syst & Control, Chinese Acad Sci, Shenyang Inst Automat, Beihang Univ, Robotics Inst, Beijing Res Inst Automat Machinery Ind, Tianjin Univ, Sch Mech Engn, ABB, YASKAWA Elect, KUKA, Willow Garage, Googol Tech., Adept Mobile Robots, Harbin Boshi Automat, Natl Instruments, Beijing Universal Pioneering Technol, Real-Time Control & Instrumentat Lab, GE Global Res, ALDEBARAN Robot, Int Federat Robot (IFR), Shanghai Jiao Tong Univ																						1050-4729	2577-087X	978-1-61284-385-8				2011							1817	1824										WOS:000324383401007						
S	Castello, P; Sbert, M; Chover, M; Feixas, M		Alexandrov, VN; VanAlbada, GD; Sloot, PMA		Castello, Pascual; Sbert, Mateu; Chover, Miguel; Feixas, Miquel			Techniques for computing viewpoint entropy of a 3D scene	COMPUTATIONAL SCIENCE - ICCS 2006, PT 2, PROCEEDINGS	LECTURE NOTES IN COMPUTER SCIENCE				6th International Conference on Computational Science (ICCS 2006)	MAY 28-31, 2006	Reading, ENGLAND	Intel Corp, IBM, SGI, Microsoft Res, EPSRC, Springer, ACET Ctr, Univ Reading, SIAM, IMACS, UK e Sci Programme									Sellés, Miguel Chover/P-9933-2018; CHOVER, MIGUEL/ABC-8562-2021; Feixas, Miquel/F-6762-2016; Sbert, Mateu/G-6711-2011	Sellés, Miguel Chover/0000-0002-0525-7038; CHOVER, MIGUEL/0000-0002-0525-7038; Feixas, Miquel/0000-0001-6512-7588; Sbert, Mateu/0000-0003-2164-6858												0302-9743		3-540-34381-4				2006	3992						263	270										WOS:000238389400035						
C	Yamauchi, H; Saleem, W; Yoshizawa, S; Karni, Z; Belyaev, A; Seidel, HP		Kawada, S		Yamauchi, Hitoshi; Saleem, Waqar; Yoshizawa, Shin; Karni, Zachi; Belyaev, Alexander; Seidel, Hans-Peter			Towards stable and salient multi-view representation of 3D shapes	IEEE INTERNATIONAL CONFERENCE ON SHAPE MODELING AND APPLICATIONS 2006, PROCEEDINGS					8th International Conference on Shape Modeling and Applications	JUN 14-16, 2006	Matsushima, JAPAN	IEEE Comp Soc Visualizat & Graph Tech Comm, ACM SIGGRAPH, EUROGRAPHICS Assoc, Comp Graph Soc									University, Heriot-Watt/U-9720-2019	Belyaev, Alexander/0000-0002-7043-8847														0-7695-2591-1				2006							265	+										WOS:000238910600029						
J	Lee, CH; Varshney, A; Jacobs, DW				Lee, CH; Varshney, A; Jacobs, DW			Mesh saliency	ACM TRANSACTIONS ON GRAPHICS					ACM SIGGRAPH 2005 Conference	JUL 31-AUG 04, 2005	Los Angeles, CA	ACM SIGGRAPH																						0730-0301	1557-7368				JUL	2005	24	3					659	666		10.1145/1073204.1073244								WOS:000231223700035						
C	Takahashi, S; Fujishiro, I; Takeshima, Y; Nishita, T		Silva, CT; Croller, E; Rushmeier, H		Takahashi, S; Fujishiro, I; Takeshima, Y; Nishita, T			A feature-driven approach to locating optimal viewpoints for volume visualization	IEEE VISUALIZATION 2005, PROCEEDINGS					IEEE Visualization 2005 Conference	OCT 23-28, 2005	Minneapolis, MN	IEEE Comp Soc, VGTC, ACM SIGGRAPH										Takahashi, Shigeo/0000-0002-4673-577X														0-7803-9462-3				2005							495	502										WOS:000234666200063						
J	Mitra, NJ; Nguyen, A; Guibas, L				Mitra, NJ; Nguyen, A; Guibas, L			Estimating surface normals in noisy point cloud data	INTERNATIONAL JOURNAL OF COMPUTATIONAL GEOMETRY & APPLICATIONS					19th ACM Symposium on Computational Geometry	JUN 08-10, 2003	San Diego, CA	ACM																						0218-1959	1793-6357				OCT	2004	14	4-5					261	276		10.1142/S0218195904001470								WOS:000224315900003						
C	Ankerst, M; Breunig, MM; Kriegel, HP; Sander, J		Delis, A; Faloutsos, C; Ghandeharizadeh, S		Ankerst, M; Breunig, MM; Kriegel, HP; Sander, J			OPTICS: Ordering points to identify the clustering structure	SIGMOD RECORD, VOL 28, NO 2 - JUNE 1999: SIGMOD99: PROCEEDINGS OF THE 1999 ACM SIGMOD - INTERNATIONAL CONFERENCE ON MANAGEMENT OF DATA					1999 ACM SIGMOD International Conference on Management of Data	JUN 01-03, 1999	PHILADELPHIA, PA	Assoc Comp Machinery, Special Interest Grp Management Data																								1-58113-084-8				1999							49	60										WOS:000080980400005						
J	Blanz, V; Tarr, MJ; Bulthoff, HH				Blanz, V; Tarr, MJ; Bulthoff, HH			What object attributes determine canonical views?	PERCEPTION																	Bülthoff, Heinrich/AAC-8818-2019; Bulthoff, Heinrich/J-6579-2012	Bulthoff, Heinrich/0000-0003-2568-0607												0301-0066	1468-4233					1999	28	5					575	599		10.1068/p2897								WOS:000082117500003	10664755					
C	HOPPE, H; DEROSE, T; DUCHAMP, T; MCDONALD, J; STUETZLE, W		Cunningham, S		HOPPE, H; DEROSE, T; DUCHAMP, T; MCDONALD, J; STUETZLE, W			SURFACE RECONSTRUCTION FROM UNORGANIZED POINTS	SIGGRAPH 92 : CONFERENCE PROCEEDINGS	COMPUTER GRAPHICS				19TH ANNUAL CONF OF THE ASSOC-FOR-COMPUTING-MACHINERY : COMPUTER GRAPHICS AND INTERACTIVE TECHNIQUES ( SIGGRAPH 92 )	JUL 26-31, 1992	CHICAGO, IL	ASSOC COMP TECH, SPECIAL INTEREST GRP COMP GRAPH																						0097-8930		0-89791-479-1				1992	26						71	78										WOS:A1992BZ28L00009						
