PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Boje, C; Guerriero, A; Kubicki, S; Rezgui, Y				Boje, Calin; Guerriero, Annie; Kubicki, Sylvain; Rezgui, Yacine			Towards a semantic Construction Digital Twin: Directions for future research	AUTOMATION IN CONSTRUCTION																	Rezgui, Yacine/ABE-6712-2020; Kubicki, Sylvain/I-6965-2019	Rezgui, Yacine/0000-0002-5711-8400; Kubicki, Sylvain/0000-0003-2985-0378; Boje, Calin/0000-0002-5150-9355; Guerriero, Annie/0000-0002-8804-1995												0926-5805	1872-7891				JUN	2020	114								103179	10.1016/j.autcon.2020.103179								WOS:000526785800022						
J	Love, PED; Matthews, J				Love, Peter E. D.; Matthews, Jane			The 'how' of benefits management for digital technology: From engineering to asset management	AUTOMATION IN CONSTRUCTION																		Matthews, Jane/0000-0003-3367-9278												0926-5805	1872-7891				NOV	2019	107								102930	10.1016/j.autcon.2019.102930								WOS:000494887600015						
J	Rogage, K; Clear, A; Alwan, Z; Lawrence, T; Kelly, G				Rogage, Kay; Clear, Adrian; Alwan, Zaid; Lawrence, Tom; Kelly, Graham			Assessing building performance in residential buildings using BIM and sensor data	INTERNATIONAL JOURNAL OF BUILDING PATHOLOGY AND ADAPTATION																		Rogage, Kay/0000-0002-3412-7160; Clear, Adrian/0000-0002-4409-9255												2398-4708					SEP 24	2019	38	1			SI		176	191		10.1108/IJBPA-01-2019-0012								WOS:000508967300001						
J	Wang, W; Hong, TZ; Xu, N; Xu, XD; Chen, JY; Shan, XF				Wang, Wei; Hong, Tianzhen; Xu, Ning; Xu, Xiaodong; Chen, Jiayu; Shan, Xiaofang			Cross-source sensing data fusion for building occupancy prediction with adaptive lasso feature filtering	BUILDING AND ENVIRONMENT																	Chen, Jiayu/P-8048-2019; Hong, Tianzhen/D-3256-2013	Chen, Jiayu/0000-0001-9396-0059; Hong, Tianzhen/0000-0003-1886-9137; Shan, Xiaofang/0000-0001-7804-1142												0360-1323	1873-684X				SEP	2019	162								106280	10.1016/j.buildenv.2019.106280								WOS:000484514400006						
J	Ouf, MM; O'Brien, W; Gunay, B				Ouf, Mohamed M.; O'Brien, William; Gunay, Burak			On quantifying building performance adaptability to variable occupancy	BUILDING AND ENVIRONMENT																	O'Brien, William/E-5475-2018	O'Brien, William/0000-0002-0236-5383												0360-1323	1873-684X				MAY 15	2019	155						257	267		10.1016/j.buildenv.2019.03.048								WOS:000464943500021						
J	Tao, F; Zhan, H; Liu, A; Nee, AYC				Tao, Fei; Zhan, He; Liu, Ang; Nee, A. Y. C.			Digital Twin in Industry: State-of-the-Art	IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS																	Tao, Fei/F-8944-2012; Andrew, Y.C. Nee/C-9974-2009	Tao, Fei/0000-0002-9020-0633; Nee, Andrew/0000-0002-1029-9988												1551-3203	1941-0050				APR	2019	15	4					2405	2415		10.1109/TII.2018.2873186								WOS:000467095500054						
J	Wang, JQ; Tse, NCF; Chan, JYC				Wang, Junqi; Tse, Norman Chung Fai; Chan, John Yau Chung			Wi-Fi based occupancy detection in a complex indoor space under discontinuous wireless communication: A robust filtering based on event-triggered updating	BUILDING AND ENVIRONMENT																	Wang, Junqi/I-9462-2019	Wang, Junqi/0000-0001-8843-7781												0360-1323	1873-684X				MAR 15	2019	151						228	239		10.1016/j.buildenv.2019.01.043								WOS:000458611000020						
J	Durosaiye, IO; Hadjri, K; Liyanage, CL				Durosaiye, Isaiah Oluremi; Hadjri, Karim; Liyanage, Champika Lasanthi			A critique of post-occupancy evaluation in the UK	JOURNAL OF HOUSING AND THE BUILT ENVIRONMENT																	Durosaiye, Isaiah Oluremi/D-3033-2013; Durosaiye, Isaiah/L-5370-2019; Hadjri, Karim/N-2328-2015	Durosaiye, Isaiah Oluremi/0000-0001-7290-7443; Durosaiye, Isaiah/0000-0001-7290-7443; Hadjri, Karim/0000-0001-8243-8396												1566-4910	1573-7772				MAR	2019	34	1					345	352		10.1007/s10901-019-09646-2								WOS:000459945600017						
J	Tomko, M; Winter, S				Tomko, Martin; Winter, Stephan			Beyond digital twins - A commentary	ENVIRONMENT AND PLANNING B-URBAN ANALYTICS AND CITY SCIENCE																	Winter, Stephan/F-5416-2014	Winter, Stephan/0000-0002-3403-6939; Tomko, Martin/0000-0002-5736-4679												2399-8083	2399-8091				FEB	2019	46	2					395	399		10.1177/2399808318816992								WOS:000458830400012						
J	Nawari, NO; Ravindran, S				Nawari, Nawari O.; Ravindran, Shriraam			BLOCKCHAIN TECHNOLOGY AND BIM PROCESS: REVIEW AND POTENTIAL APPLICATIONS	JOURNAL OF INFORMATION TECHNOLOGY IN CONSTRUCTION																		Ravindran, Shriraam/0000-0002-1385-2662												1874-4753						2019	24						209	238										WOS:000468631200001						
J	Wu, LB; Wang, Y				Wu, Libo; Wang, Ya			A Low-Power Electric-Mechanical Driving Approach for True Occupancy Detection Using a Shuttered Passive Infrared Sensor	IEEE SENSORS JOURNAL																		Wu, Libo/0000-0002-6813-2961												1530-437X	1558-1748				JAN 1	2019	19	1					47	57		10.1109/JSEN.2018.2875659								WOS:000452623200005						
J	Dong, B; Yan, D; Li, ZX; Jin, Y; Feng, XH; Fontenot, H				Dong, Bing; Yan, Da; Li, Zhaoxuan; Jin, Yuan; Feng, Xiaohang; Fontenot, Hannah			Modeling occupancy and behavior for better building design and operation-A critical review	BUILDING SIMULATION																	Yan, Da/AAI-8879-2021; Jin, Yuan/AAE-6301-2019	Jin, Yuan/0000-0002-1973-9409; Yan, Da/0000-0003-2399-723X												1996-3599	1996-8744				OCT	2018	11	5			SI		899	921		10.1007/s12273-018-0452-x								WOS:000445269900004						
J	Batty, M				Batty, Michael			Digital twins	ENVIRONMENT AND PLANNING B-URBAN ANALYTICS AND CITY SCIENCE																	Batty, Michael/D-4422-2011	Batty, Michael/0000-0002-9931-1305												2399-8083	2399-8091				SEP	2018	45	5					817	819		10.1177/2399808318796416								WOS:000444403500001						
J	Yang, JJ; Pantazaras, A; Chaturvedi, KA; Chandran, AK; Santamouris, M; Lee, SE; Tham, KW				Yang, Junjing; Pantazaras, Alexandros; Chaturvedi, Karn Ashokkumar; Chandran, Arun Kumar; Santamouris, Mat; Lee, Siew Eang; Tham, Kwok Wai			Comparison of different occupancy counting methods for single system-single zone applications	ENERGY AND BUILDINGS																	Mat, Santamouris/AAP-2836-2021; Tham, Kwok Wai/B-6541-2009	Santamouris, Matthaios/0000-0001-6076-3526; Pantazaras, Alexandros/0000-0002-0972-2857; Tham, Kwok Wai/0000-0002-2957-1152												0378-7788	1872-6178				AUG 1	2018	172						221	234		10.1016/j.enbuild.2018.04.051								WOS:000438181100021						
J	Li, PX; Froese, TM; Brager, G				Li, Peixian; Froese, Thomas M.; Brager, Gail			Post-occupancy evaluation: State-of-the-art analysis and state-of-the-practice review	BUILDING AND ENVIRONMENT																	Froese, Thomas M/K-7171-2012; Li, Peixian/AAR-1078-2021	Froese, Thomas M/0000-0001-9633-1389; Li, Peixian/0000-0002-5473-1605												0360-1323	1873-684X				APR	2018	133						187	202		10.1016/j.buildenv.2018.02.024								WOS:000429631100016						
C	Liu, Z; Deng, ZY; Demian, P			Assoc Comp Machinery	Liu, Zhen; Deng, Zhiyu; Demian, Peter			Integration of Building Information Modelling (BIM) and Sensor Technology: A Review of Current Developments and Future Outlooks	PROCEEDINGS OF THE 2ND INTERNATIONAL CONFERENCE ON COMPUTER SCIENCE AND APPLICATION ENGINEERING (CSAE2018)					2nd International Conference on Computer Science and Application Engineering (CSAE)	OCT 22-24, 2018	Hohhot, PEOPLES R CHINA	Assoc Sci & Engn, Assoc Comp Machinery									Demian, Peter/M-6456-2014	Demian, Peter/0000-0001-8391-8690														978-1-4503-6512-3				2018										10.1145/3207677.3277991								WOS:000455679900144						
J	Qi, QL; Tao, F				Qi, Qinglin; Tao, Fei			Digital Twin and Big Data Towards Smart Manufacturing and Industry 4.0: 360 Degree Comparison	IEEE ACCESS																	Tao, Fei/F-8944-2012; Qi, Qinglin/AAP-2458-2020; Qi, Qinglin/N-3496-2018	Tao, Fei/0000-0002-9020-0633; Qi, Qinglin/0000-0002-3247-0440												2169-3536						2018	6						3585	3593		10.1109/ACCESS.2018.2793265								WOS:000426298500001						
J	Yan, D; Hong, TZ; Dong, B; Mahdavi, A; D'Oca, S; Gaetani, I; Feng, XH				Yan, Da; Hong, Tianzhen; Dong, Bing; Mahdavi, Ardeshir; D'Oca, Simona; Gaetani, Isabella; Feng, Xiaohang			IEA EBC Annex 66: Definition and simulation of occupant behavior in buildings	ENERGY AND BUILDINGS																	Yan, Da/AAI-8879-2021; Hong, Tianzhen/D-3256-2013	Hong, Tianzhen/0000-0003-1886-9137; Yan, Da/0000-0003-2399-723X												0378-7788	1872-6178				DEC 1	2017	156						258	270		10.1016/j.enbuild.2017.09.084								WOS:000416186600025						
J	Peng, Y; Lin, JR; Zhang, JP; Hu, ZZ				Peng, Yang; Lin, Jia-Rui; Zhang, Jian-Ping; Hu, Zhen-Zhong			A hybrid data mining approach on BIM-based building operation and maintenance	BUILDING AND ENVIRONMENT																	Hu, Zhen-Zhong/AAI-9454-2020; Jeong, Yongwook/N-7413-2016; Lin, Jia-Rui/L-7191-2019; Lin, Jia-Rui/E-9923-2019; Lin, Jia-Rui/D-5238-2012	Hu, Zhen-Zhong/0000-0001-9653-0097; Lin, Jia-Rui/0000-0003-2195-8675; Lin, Jia-Rui/0000-0003-2195-8675; Lin, Jia-Rui/0000-0003-2195-8675												0360-1323	1873-684X				DEC	2017	126						483	495		10.1016/j.buildenv.2017.09.030								WOS:000417010000040						
J	Wang, W; Chen, JY; Song, XY				Wang, Wei; Chen, Jiayu; Song, Xinyi			Modeling and predicting occupancy profile in office space with a Wi-Fi probe-based Dynamic Markov Time-Window Inference approach	BUILDING AND ENVIRONMENT																	Chen, Jiayu/P-8048-2019; Wang, Wei/K-1891-2019	Chen, Jiayu/0000-0001-9396-0059; SONG, XINYI/0000-0003-1741-4747												0360-1323	1873-684X				NOV 1	2017	124						130	142		10.1016/j.buildenv.2017.08.003								WOS:000412252400011						
J	Knapp, GL; Mukherjee, T; Zuback, JS; Wei, HL; Palmer, TA; De, A; DebRoy, T				Knapp, G. L.; Mukherjee, T.; Zuback, J. S.; Wei, H. L.; Palmer, T. A.; De, A.; DebRoy, T.			Building blocks for a digital twin of additive manufacturing	ACTA MATERIALIA																	Mukherjee, Tuhin/I-2895-2019; Knapp, Gerald L./X-4039-2019; Palmer, Todd A./AAZ-5259-2021; Wei, Huiliang/B-2265-2017; Wei, Huiliang/AAF-2786-2019	Knapp, Gerald L./0000-0002-2023-992X; Palmer, Todd A./0000-0001-9573-3319; Wei, Huiliang/0000-0003-2373-6603; DebRoy, Tarasankar/0000-0003-1790-7066; Mukherjee, Tuhin/0000-0001-5372-4887; Wei, Huiliang/0000-0001-6176-5224; De, Amitava/0000-0002-3109-261X												1359-6454	1873-2453				AUG 15	2017	135						390	399		10.1016/j.actamat.2017.06.039								WOS:000407536800039						
J	Parn, EA; Edwards, DJ; Sing, MCP				Parn, E. A.; Edwards, D. J.; Sing, M. C. P.			The building information modelling trajectory in facilities management: A review	AUTOMATION IN CONSTRUCTION																	Jeong, Yongwook/N-7413-2016	Parn, Erika/0000-0002-8124-4263; SING, Chun Pong/0000-0003-3526-0702												0926-5805	1872-7891				MAR	2017	75						45	55		10.1016/j.autcon.2016.12.003								WOS:000393007300005						
