PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Yang, H; Shi, JN; Carlone, L				Yang, Heng; Shi, Jingnan; Carlone, Luca			TEASER: Fast and Certifiable Point Cloud Registration	IEEE TRANSACTIONS ON ROBOTICS																	; /P-8807-2017	Shi, Jingnan/0000-0001-6918-3237; /0000-0003-1884-5397; /0000-0003-0074-7836												1552-3098	1941-0468				APR	2021	37	2					314	333		10.1109/TRO.2020.3033695								WOS:000637533900001						
J	Xue, F; Wu, LPF; Lu, WS				Xue, Fan; Wu, Liupengfei; Lu, Weisheng			Semantic enrichment of building and city information models: A ten-year review	ADVANCED ENGINEERING INFORMATICS																	Xue, Fan/H-9198-2012	Xue, Fan/0000-0003-2217-3693												1474-0346	1873-5320				JAN	2021	47								101245	10.1016/j.aei.2020.101245								WOS:000630364600028						
J	Bassier, M; Vergauwen, M				Bassier, Maarten; Vergauwen, Maarten			Unsupervised reconstruction of Building Information Modeling wall objects from point cloud data	AUTOMATION IN CONSTRUCTION																	Vergauwen, Maarten/B-6498-2018; Bassier, Maarten/C-7338-2019	Vergauwen, Maarten/0000-0003-3465-9033; Bassier, Maarten/0000-0001-8526-8847												0926-5805	1872-7891				DEC	2020	120								103338	10.1016/j.autcon.2020.103338								WOS:000594148600003						
J	Xue, F; Lu, WS; Chen, Z; Webster, CJ				Xue, Fan; Lu, Weisheng; Chen, Zhe; Webster, Christopher J.			From LiDAR point cloud towards digital twin city: Clustering city objects based on Gestalt principles	ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING																	Xue, Fan/H-9198-2012; /E-2899-2010	Xue, Fan/0000-0003-2217-3693; Webster, Chris/0000-0002-2171-7495; /0000-0003-4674-0357; Chen, Zhe/0000-0002-8720-2638												0924-2716	1872-8235				SEP	2020	167						418	431		10.1016/j.isprsjprs.2020.07.020								WOS:000561346200028						
J	Lim, KYH; Zheng, P; Chen, CH				Lim, Kendrik Yan Hong; Zheng, Pai; Chen, Chun-Hsien			A state-of-the-art survey of Digital Twin: techniques, engineering product lifecycle management and business innovation perspectives	JOURNAL OF INTELLIGENT MANUFACTURING																	Kendrik, Lim/AAU-5825-2020; ZHENG, PAI/K-7989-2012; Chen, Chun-Hsien/A-3877-2011	Kendrik, Lim/0000-0003-2832-6865; ZHENG, PAI/0000-0002-2329-8634; Chen, Chun-Hsien/0000-0003-2193-5270												0956-5515	1572-8145				AUG	2020	31	6					1313	1337		10.1007/s10845-019-01512-w								WOS:000544047100001						
J	Wu, YJ; Shang, JG; Chen, P; Zlatanova, S; Hu, XK; Zhou, ZY				Wu, Yijie; Shang, Jianga; Chen, Pan; Zlatanova, Sisi; Hu, Xuke; Zhou, Zhiyong			Indoor mapping and modeling by parsing floor plan images	INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE																	Zhou, Zhiyong/AAN-7994-2021; Zlatanova, Sisi/P-5503-2014	Zhou, Zhiyong/0000-0002-6117-2071; Zlatanova, Sisi/0000-0002-8766-0487												1365-8816	1362-3087				JUN 3	2021	35	6					1205	1231		10.1080/13658816.2020.1781130		JUL 2020						WOS:000547682600001						
J	Lu, QC; Chen, L; Li, S; Pitt, M				Lu, Qiuchen; Chen, Long; Li, Shuai; Pitt, Michael			Semi-automatic geometric digital twinning for existing buildings based on images and CAD drawings	AUTOMATION IN CONSTRUCTION																		Chen, Long/0000-0002-6771-752X												0926-5805	1872-7891				JUL	2020	115								103183	10.1016/j.autcon.2020.103183								WOS:000528282500011						
J	Boje, C; Guerriero, A; Kubicki, S; Rezgui, Y				Boje, Calin; Guerriero, Annie; Kubicki, Sylvain; Rezgui, Yacine			Towards a semantic Construction Digital Twin: Directions for future research	AUTOMATION IN CONSTRUCTION																	Rezgui, Yacine/ABE-6712-2020; Kubicki, Sylvain/I-6965-2019	Rezgui, Yacine/0000-0002-5711-8400; Kubicki, Sylvain/0000-0003-2985-0378; Boje, Calin/0000-0002-5150-9355; Guerriero, Annie/0000-0002-8804-1995												0926-5805	1872-7891				JUN	2020	114								103179	10.1016/j.autcon.2020.103179								WOS:000526785800022						
J	Nikoohemat, S; Diakite, AA; Zlatanova, S; Vosselman, G				Nikoohemat, Shayan; Diakite, Abdoulaye A.; Zlatanova, Sisi; Vosselman, George			Indoor 3D reconstruction from point clouds for optimal routing in complex buildings to support disaster management	AUTOMATION IN CONSTRUCTION																	Vosselman, George/D-3985-2009; Zlatanova, Sisi/P-5503-2014	Vosselman, George/0000-0001-8813-8028; Zlatanova, Sisi/0000-0002-8766-0487; NIKOOHEMAT, SHAYAN/0000-0001-7102-4446												0926-5805	1872-7891				MAY	2020	113								103109	10.1016/j.autcon.2020.103109								WOS:000526785700024						
J	Chen, SL; Nan, LL; Xia, RB; Zhao, JB; Wonka, P				Chen, Songlin; Nan, Liangliang; Xia, Renbo; Zhao, Jibin; Wonka, Peter			PLADE: A Plane-Based Descriptor for Point Cloud Registration With Small Overlap	IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING																	Nan, Liangliang/C-2642-2011	Nan, Liangliang/0000-0002-5629-9975												0196-2892	1558-0644				APR	2020	58	4					2530	2540		10.1109/TGRS.2019.2952086								WOS:000538748900021						
C	Xu, JY; Xue, F; Chiaradia, A; Lu, WS; Cao, J		ElAsmar, M; Tang, P; Grau, D		Xu, Jinying; Xue, Fan; Chiaradia, Alain; Lu, Weisheng; Cao, Jin			Indoor-Outdoor Navigation without Beacons: Compensating Smartphone AR Positioning Errors with 3D Pedestrian Network	CONSTRUCTION RESEARCH CONGRESS 2020: INFRASTRUCTURE SYSTEMS AND SUSTAINABILITY					Construction Research Congress (CRC) on Construction Research and Innovation to Transform Society	MAR 08-10, 2020	Arizona State Univ, Del E Webb Sch Construct, Tempe, AZ	Construct Res Council, Amer Soc Civil Engineers, Construct Inst, Amer Soc Civil Engineers, Arizona State Univ	Arizona State Univ, Del E Webb Sch Construct								XU, Jinying/AAS-1244-2021; Xue, Fan/H-9198-2012	XU, Jinying/0000-0001-9589-6396; Xue, Fan/0000-0003-2217-3693														978-0-7844-8285-8				2020							444	452										WOS:000652183800049						
C	Choy, C; Dong, W; Koltun, V			IEEE	Choy, Christopher; Dong, Wei; Koltun, Vladlen			Deep Global Registration	2020 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR)	IEEE Conference on Computer Vision and Pattern Recognition				IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)	JUN 14-19, 2020	ELECTR NETWORK	IEEE, CVF																						1063-6919		978-1-7281-7168-5				2020							2511	2520		10.1109/CVPR42600.2020.00259								WOS:000620679502078						
J	Xue, F; Lu, WS; Chen, K; Webster, CJ				Xue, Fan; Lu, Weisheng; Chen, Ke; Webster, Christopher J.			BIM reconstruction from 3D point clouds: A semantic registration approach based on multimodal optimization and architectural design knowledge	ADVANCED ENGINEERING INFORMATICS																	Xue, Fan/H-9198-2012; CHEN, KE/A-4018-2015	Xue, Fan/0000-0003-2217-3693; CHEN, KE/0000-0003-3918-3820; Webster, Chris/0000-0002-2171-7495												1474-0346	1873-5320				OCT	2019	42								100965	10.1016/j.aei.2019.100965								WOS:000501389000040						
J	Taberna, GA; Guarnieri, R; Mantini, D				Taberna, Gaia Amaranta; Guarnieri, Roberto; Mantini, Dante			SPOT3D: Spatial positioning toolbox for head markers using 3D scans	SCIENTIFIC REPORTS																	Guarnieri, Roberto/AAC-7257-2020; Mantini, Dante/D-6989-2014	Mantini, Dante/0000-0001-6485-5559; Guarnieri, Roberto/0000-0001-5019-2897; Taberna, Gaia Amaranta/0000-0002-1989-6738												2045-2322					SEP 6	2019	9								12813	10.1038/s41598-019-49256-0								WOS:000484656700001	31492919					
J	Attenni, M				Attenni, Martina			Informative Models for Architectural Heritage	HERITAGE																															2571-9408				SEP	2019	2	3					2067	2089		10.3390/heritage2030125								WOS:000674296300020						
J	Xue, F; Lu, WS; Chen, K; Zetkulic, A				Xue, Fan; Lu, Weisheng; Chen, Ke; Zetkulic, Anna			u From Semantic Segmentation to Semantic Registration: Derivative-Free Optimization-Based Approach for Automatic Generation of Semantically Rich As-Built Building Information Models from 3D Point Clouds	JOURNAL OF COMPUTING IN CIVIL ENGINEERING																	CHEN, KE/A-4018-2015; Xue, Fan/H-9198-2012	CHEN, KE/0000-0003-3918-3820; Xue, Fan/0000-0003-2217-3693												0887-3801	1943-5487				JUL 1	2019	33	4							04019024	10.1061/(ASCE)CP.1943-5487.0000839								WOS:000474683400004						
