PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Li, F				Li, Feng			The digital transformation of business models in the creative industries: A holistic framework and emerging trends	TECHNOVATION																	Li, Feng/ABE-7849-2020	Li, Feng/0000-0002-6589-6392												0166-4972	1879-2383				APR-MAY	2020	92-93								102012	10.1016/j.technovation.2017.12.004								WOS:000534157600007						
J	Love, PED; Zhou, JY; Matthews, J				Love, Peter E. D.; Zhou, Jingyang; Matthews, Jane			Project controls for electrical, instrumentation and control systems: Enabling role of digital system information modelling	AUTOMATION IN CONSTRUCTION																		Matthews, Jane/0000-0003-3367-9278												0926-5805	1872-7891				JUL	2019	103						202	212		10.1016/j.autcon.2019.03.010								WOS:000466828500014						
J	Andersen, MT; Findsen, AL				Andersen, Mikkel Toppel; Findsen, Ann-Louise			Exploring the benefits of structured information with the use of virtual design and construction principles in a BIM life-cycle approach	ARCHITECTURAL ENGINEERING AND DESIGN MANAGEMENT																														1745-2007	1752-7589				MAR 4	2019	15	2					83	100		10.1080/17452007.2018.1546165								WOS:000456816700001						
J	Love, P; Smith, J				Love, Peter; Smith, Jim			Unpacking the ambiguity of rework in construction: making sense of the literature	CIVIL ENGINEERING AND ENVIRONMENTAL SYSTEMS																	Love, Peter/D-7418-2017	Love, Peter/0000-0002-3239-1304; Smith, James/0000-0001-8906-6986												1028-6608	1029-0249				OCT 2	2018	35	1-4			SI		180	203		10.1080/10286608.2019.1577396								WOS:000471980400011						
J	Zwikael, O; Chih, YY; Meredith, JR				Zwikael, Ofer; Chih, Ying-Yi; Meredith, Jack R.			Project benefit management: Setting effective target benefits	INTERNATIONAL JOURNAL OF PROJECT MANAGEMENT																	Zwikael, Ofer/A-4199-2008	Zwikael, Ofer/0000-0003-0750-1337; Chih, Ying-Yi/0000-0002-6007-6790												0263-7863	1873-4634				MAY	2018	36	4					650	658		10.1016/j.ijproman.2018.01.002								WOS:000430524600006						
J	Love, PED; Zhou, JY; Matthews, J; Lavender, M; Morse, T				Love, Peter E. D.; Zhou, Jingyang; Matthews, Jane; Lavender, Matthew; Morse, Troy			Managing rail infrastructure for a digital future: Future-proofing of asset information	TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE																	Matthews, Jane/M-6968-2017; Love, Peter/D-7418-2017	Matthews, Jane/0000-0003-3367-9278; Love, Peter/0000-0002-3239-1304												0965-8564					APR	2018	110						161	176		10.1016/j.tra.2018.02.014								WOS:000430897900012						
J	Hu, ZZ; Tian, PL; Li, SW; Zhang, JP				Hu, Zhen-Zhong; Tian, Pei-Long; Li, Sun-Wei; Zhang, Jian-Ping			BIM-based integrated delivery technologies for intelligent MEP management in the operation and maintenance phase	ADVANCES IN ENGINEERING SOFTWARE																	Ajmi, Ghalia Al/AAB-6467-2019; Hu, Zhen-Zhong/AAI-9454-2020; Jeong, Yongwook/N-7413-2016	Hu, Zhen-Zhong/0000-0001-9653-0097; 												0965-9978	1873-5339				JAN	2018	115						1	16		10.1016/j.advengsoft.2017.08.007								WOS:000416677500001						
J	Matthews, J; Love, PED; Mewburn, J; Stobaus, C; Ramanayaka, C				Matthews, Jane; Love, Peter E. D.; Mewburn, Joshua; Stobaus, Christopher; Ramanayaka, Chamila			Building information modelling in construction: insights from collaboration and change management perspectives	PRODUCTION PLANNING & CONTROL																	Matthews, Jane/M-6968-2017; Love, Peter/D-7418-2017	Matthews, Jane/0000-0003-3367-9278; Love, Peter/0000-0002-3239-1304; Ramanayaka, Chamil Dilhan Erik/0000-0002-1967-8589												0953-7287	1366-5871					2018	29	3					202	216		10.1080/09537287.2017.1407005								WOS:000428136100002						
J	Love, PED; Zhou, J; Matthews, J; Sing, MCP; Edwards, DJ				Love, P. E. D.; Zhou, J.; Matthews, J.; Sing, M. C. P.; Edwards, D. J.			System information modelling in practice: Analysis of tender documentation quality in a mining mega-project	AUTOMATION IN CONSTRUCTION																	Love, Peter/D-7418-2017; Matthews, Jane/M-6968-2017	Love, Peter/0000-0002-3239-1304; Matthews, Jane/0000-0003-3367-9278; SING, Chun Pong/0000-0003-3526-0702												0926-5805	1872-7891				DEC	2017	84						176	183		10.1016/j.autcon.2017.08.034								WOS:000413607600015						
J	ul Musawir, A; Serra, CEM; Zwikael, O; Ali, I				ul Musawir, Ata; Serra, Carlos Eduardo Martins; Zwikael, Ofer; Ali, Imran			Project governance, benefit management, and project success: Towards a framework for supporting organizational strategy implementation	INTERNATIONAL JOURNAL OF PROJECT MANAGEMENT																	Musawir, Ata Ul/J-6710-2016; Ali, Imran/H-6512-2017; Zwikael, Ofer/A-4199-2008; Serra, Carlos/T-2313-2019	Musawir, Ata Ul/0000-0002-4493-648X; Ali, Imran/0000-0002-7008-7514; Zwikael, Ofer/0000-0003-0750-1337; 												0263-7863	1873-4634				NOV	2017	35	8					1658	1672		10.1016/j.ijproman.2017.07.007								WOS:000417670600017						
J	Love, PED; Zhou, JY; Matthews, J				Love, Peter E. D.; Zhou, Jingyang; Matthews, Jane			Safeguarding the integrity of Liquefied Natural Gas infrastructure assets with digitization: Case of a domestic gas metering upgrade project	JOURNAL OF NATURAL GAS SCIENCE AND ENGINEERING																	Matthews, Jane/M-6968-2017; Love, Peter/D-7418-2017	Matthews, Jane/0000-0003-3367-9278; Love, Peter/0000-0002-3239-1304												1875-5100	2212-3865				AUG	2017	44						9	21		10.1016/j.jngse.2017.04.008								WOS:000404304800002						
J	Parn, EA; Edwards, DJ				Parn, E. A.; Edwards, D. J.			Conceptualising the FinDD API plug-in: A study of BIM-FM integration	AUTOMATION IN CONSTRUCTION																	Jeong, Yongwook/N-7413-2016	Parn, Erika/0000-0002-8124-4263												0926-5805	1872-7891				AUG	2017	80						11	21		10.1016/j.autcon.2017.03.015								WOS:000401218900002						
J	Love, PED; Irani, Z; Smith, J; Regan, M; Liu, JX				Love, Peter E. D.; Irani, Zahir; Smith, Jim; Regan, Michael; Liu, Junxiao			Cost performance of public infrastructure projects: the nemesis and nirvana of change-orders	PRODUCTION PLANNING & CONTROL																	Love, Peter/D-7418-2017	Love, Peter/0000-0002-3239-1304; Liu, Henry/0000-0003-0765-3584; Smith, James/0000-0001-8906-6986												0953-7287	1366-5871					2017	28	13					1081	1092		10.1080/09537287.2017.1333647								WOS:000406536500005						
J	Nguyen, VH; Tran, QT; Besanger, Y				Van Hoa Nguyen; Quoc Tuan Tran; Besanger, Yvon			SCADA as a service approach for interoperability of micro-grid platforms	SUSTAINABLE ENERGY GRIDS & NETWORKS																		Nguyen, Van Hoa/0000-0003-3182-7820; TRAN, Quoc Tuan/0000-0003-4733-1571												2352-4677					DEC	2016	8						26	36		10.1016/j.segan.2016.08.001								WOS:000391304700003						
