PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Shirowzhan, S; Tan, W; Sepasgozar, SME				Shirowzhan, Sara; Tan, Willie; Sepasgozar, Samad M. E.			Digital Twin and CyberGIS for Improving Connectivity and Measuring the Impact of Infrastructure Construction Planning in Smart Cities	ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION																	Tan, Willie CK/H-4959-2018	Tan, Willie CK/0000-0001-9481-4862; M. E. Sepasgozar, Samad/0000-0003-2568-3111; Shirowzhan, Sara/0000-0003-1511-3617													2220-9964				APR	2020	9	4							240	10.3390/ijgi9040240								WOS:000539535700055						
J	McNamara, AJ; Scpasgozar, SME				McNamara, Alan J.; Scpasgozar, Samad M. E.			Developing a theoretical framework for intelligent contract acceptance	CONSTRUCTION INNOVATION-ENGLAND																		M. E. Sepasgozar, Samad/0000-0003-2568-3111												1471-4175	1477-0857					2020	20	3			SI		421	445		10.1108/CI-07-2019-0061		MAR 2020						WOS:000524829300001						
J	Prada-Delgado, MA; Baturone, I; Dittmann, G; Jelitto, J; Kind, A				Angel Prada-Delgado, Miguel; Baturone, Iluminada; Dittmann, Gero; Jelitto, Jens; Kind, Andreas			PUF-derived IoT identities in a zero-knowledge protocol for blockchain	INTERNET OF THINGS																	Baturone, Iluminada/L-3577-2014	Baturone, Iluminada/0000-0001-5463-2482; Jelitto, Jens/0000-0001-5050-3915; Dittmann, Gero/0000-0002-9112-146X												2543-1536	2542-6605				MAR	2020	9								100057	10.1016/j.iot.2019.100057								WOS:000695693900002						
J	Wang, ZJ; Wang, TY; Hu, H; Gong, J; Ren, X; Xiao, QY				Wang, Zhaojing; Wang, Tengyu; Hu, Hao; Gong, Jie; Ren, Xu; Xiao, Qiying			Blockchain-based framework for improving supply chain traceability and information sharing in precast construction	AUTOMATION IN CONSTRUCTION																		wang, zhaojing/0000-0001-6705-6082												0926-5805	1872-7891				MAR	2020	111								103063	10.1016/j.autcon.2019.103063								WOS:000513989400014						
J	Alaloul, WS; Liew, MS; Zawawi, NAWA; Kennedy, IB				Alaloul, Wesam Salah; Liew, M. S.; Zawawi, Noor Amila Wan Abdullah; Kennedy, Ickx Baldwin			Industrial Revolution 4.0 in the construction industry: Challenges and opportunities for stakeholders	AIN SHAMS ENGINEERING JOURNAL																	Salah, Alaloul/AAF-9084-2021	WAN ABDULLAH ZAWAWI, NOOR AMILA/0000-0002-5699-5348; Liew, Mohd Shahir/0000-0002-8706-3500												2090-4479	2090-4495				MAR	2020	11	1					225	230		10.1016/j.asej.2019.08.010								WOS:000519625000022						
C	Bosurgi, G; Celauro, C; Pellegrino, O; Rustica, N; Giuseppe, S		Pasetto, M; Partl, MN; Tebaldi, G		Bosurgi, Gaetano; Celauro, Clara; Pellegrino, Orazio; Rustica, Nicola; Giuseppe, Sollazzo			The BIM (Building Information Modeling)-Based Approach for Road Pavement Maintenance	PROCEEDINGS OF THE 5TH INTERNATIONAL SYMPOSIUM ON ASPHALT PAVEMENTS & ENVIRONMENT (APE)	Lecture Notes in Civil Engineering				5th International Symposium on Asphalt Pavements and Environment (APE)	SEP 11-13, 2019	Univ Padova, Padova, ITALY	Int Soc Asphalt Pavements	Univ Padova								Sollazzo, Giuseppe/AAB-6511-2021	Sollazzo, Giuseppe/0000-0002-7116-7946												2366-2557	2366-2565	978-3-030-29779-4; 978-3-030-29778-7				2020	48						480	490		10.1007/978-3-030-29779-4_47								WOS:000613129500047						
J	Mason, J				Mason, Jim			BIM Fork: Are Smart Contracts in Construction More Likely to Prosper with or without BIM?	JOURNAL OF LEGAL AFFAIRS AND DISPUTE RESOLUTION IN ENGINEERING AND CONSTRUCTION																														1943-4162	1943-4170				NOV 1	2019	11	4							UNSP 02519002	10.1061/(ASCE)LA.1943-4170.0000316								WOS:000486183800015						
J	Nyamtiga, BW; Sicato, JCS; Rathore, S; Sung, Y; Park, JH				Nyamtiga, Baraka William; Sicato, Jose Costa Sapalo; Rathore, Shailendra; Sung, Yunsick; Park, Jong Hyuk			Blockchain-Based Secure Storage Management with Edge Computing for IoT	ELECTRONICS																	rathore, shailendra/I-9320-2019	rathore, shailendra/0000-0001-8053-2063													2079-9292				AUG	2019	8	8							828	10.3390/electronics8080828								WOS:000483554300037						
J	Mandolla, C; Petruzzelli, AM; Percoco, G; Urbinati, A				Mandolla, Claudio; Petruzzelli, Antonio Messeni; Percoco, Gianluca; Urbinati, Andrea			Building a digital twin for additive manufacturing through the exploitation of blockchain: A case analysis of the aircraft industry	COMPUTERS IN INDUSTRY																		Percoco, Gianluca/0000-0002-4438-0450; Percoco, Gianluca/0000-0003-3298-5839												0166-3615	1872-6194				AUG	2019	109						134	152		10.1016/j.compind.2019.04.011								WOS:000470943400011						
J	Li, J; Greenwood, D; Kassem, M				Li, Jennifer; Greenwood, David; Kassem, Mohamad			Blockchain in the built environment and construction industry: A systematic review, conceptual models and practical use cases	AUTOMATION IN CONSTRUCTION																		Li, Jennifer/0000-0002-3246-8279												0926-5805	1872-7891				JUN	2019	102						288	307		10.1016/j.autcon.2019.02.005								WOS:000463309900021						
J	Li, ZN; Yang, ZY; Xie, SL				Li, Zhenni; Yang, Zuyuan; Xie, Shengli			Computing Resource Trading for Edge-Cloud-Assisted Internet of Things	IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS																	Xie, Shengli/AAZ-6354-2020													1551-3203	1941-0050				JUN	2019	15	6					3661	3669		10.1109/TII.2019.2897364								WOS:000471725400051						
J	Kouhizadeh, M; Sarkis, J; Zhu, QY				Kouhizadeh, Mahtab; Sarkis, Joseph; Zhu, Qingyun			At the Nexus of Blockchain Technology, the Circular Economy, and Product Deletion	APPLIED SCIENCES-BASEL																	Kouhizadeh, Mahtab/AAV-6880-2020; Sarkis, Joseph/F-4508-2014	Sarkis, Joseph/0000-0003-0143-804X; Zhu, Qingyun/0000-0001-8526-2664													2076-3417				APR 2	2019	9	8							1712	10.3390/app9081712								WOS:000467316400197						
J	Lee, J; Azamfar, M; Singh, J				Lee, Jay; Azamfar, Moslem; Singh, Jaskaran			A blockchain enabled Cyber-Physical System architecture for Industry 4.0 manufacturing systems	MANUFACTURING LETTERS																	Azamfar, Moslem/T-3656-2019	Azamfar, Moslem/0000-0001-7642-5003												2213-8463					APR	2019	20						34	39		10.1016/j.mfglet.2019.05.003								WOS:000645111300008						
C	Dietz, M; Putz, B; Pernul, G		Foley, SN		Dietz, Marietheres; Putz, Benedikt; Pernul, Guenther			A Distributed Ledger Approach to Digital Twin Secure Data Sharing	DATA AND APPLICATIONS SECURITY AND PRIVACY XXXIII	Lecture Notes in Computer Science				33rd IFIP WG 11.3 Annual Conference on Data and Applications Security and Privacy (DBSec)	JUL 15-17, 2019	Charleston, SC	IFIP WG 11 3										Dietz, Marietheres/0000-0002-6885-4622; Putz, Benedikt/0000-0002-4265-1106												0302-9743	1611-3349	978-3-030-22479-0; 978-3-030-22478-3				2019	11559						281	300		10.1007/978-3-030-22479-0_15								WOS:000560794600015						
J	Nawari, NO; Ravindran, S				Nawari, Nawari O.; Ravindran, Shriraam			BLOCKCHAIN TECHNOLOGY AND BIM PROCESS: REVIEW AND POTENTIAL APPLICATIONS	JOURNAL OF INFORMATION TECHNOLOGY IN CONSTRUCTION																		Ravindran, Shriraam/0000-0002-1385-2662												1874-4753						2019	24						209	238										WOS:000468631200001						
C	Bez, M; Fornari, G; Vardanega, T			IEEE	Bez, Mirko; Fornari, Giacomo; Vardanega, Tullio			The Scalability Challenge of Ethereum: An Initial Quantitative Analysis	2019 13TH IEEE INTERNATIONAL CONFERENCE ON SERVICE-ORIENTED SYSTEM ENGINEERING (SOSE) / 10TH INTERNATIONAL WORKSHOP ON JOINT CLOUD COMPUTING (JCC) / IEEE INTERNATIONAL WORKSHOP ON CLOUD COMPUTING IN ROBOTIC SYSTEMS (CCRS)					13th IEEE International Conference on Service-Oriented System Engineering (SOSE) / 10th International Workshop on Joint Cloud Computing (JCC) / IEEE International Workshop on Cloud Computing in Robotic Systems (CCRS)	APR 04-09, 2019	San Francisco, CA	IEEE, IEEE Comp Soc									Vardanega, Tullio/P-1739-2015	Vardanega, Tullio/0000-0002-0089-0889														978-1-7281-1442-2				2019							167	176		10.1109/SOSE.2019.00031								WOS:000470922300020						
